norad_id	bol	mission_start_date	stop_ops_date	demise_date
207	11/15/1961	11/15/1961	11/23/1961	11/23/1961
208	11/29/1961	11/29/1961	11/29/1961	11/29/1961
209	11/29/1961	11/29/1961	11/30/1961	11/30/1961
212	6/29/1961	6/29/1961	8/11/1988	8/11/1988
213	12/12/1961	12/12/1961	3/8/1962	3/8/1962
214	12/12/1961	12/12/1961	1/31/1962	1/31/1962
215	12/12/1961	12/12/1961	12/19/1961	12/19/1961
216	6/29/1961	6/29/1961	11/13/1989	11/13/1989
217	12/22/1961	12/22/1961	8/14/1962	8/14/1962
218	12/22/1961	12/22/1961	12/31/1961	12/31/1961
219	12/22/1961	12/22/1961	1/9/1962	1/9/1962
220	6/29/1961	6/29/1961	2/21/1966	2/21/1966
231	6/29/1961	6/29/1961	2/13/1965	2/13/1965
236	6/29/1961	6/29/1961	5/13/1969	5/13/1969
237	6/29/1961	6/29/1961	4/12/1969	4/12/1969
238	6/29/1961	6/29/1961	12/7/1969	12/7/1969
239	6/29/1961	6/29/1961	6/17/1967	6/17/1967
240	2/20/1962	2/20/1962	2/20/1962	2/20/1962
241	2/20/1962	2/20/1962	2/21/1962	2/21/1962
242	2/21/1962	2/21/1962	3/4/1962	3/4/1962
247	2/27/1962	2/27/1962	3/21/1962	3/21/1962
248	2/27/1962	2/27/1962	3/3/1962	3/3/1962
249	2/27/1962	2/27/1962	3/3/1962	3/3/1962
251	2/27/1962	2/27/1962	3/7/1962	3/7/1962
255	3/7/1962	3/7/1962	10/8/1981	10/8/1981
256	3/7/1962	3/7/1962	6/7/1963	6/7/1963
257	3/7/1962	3/7/1962	5/3/1970	5/3/1970
258	3/7/1962	3/7/1962	3/31/1962	3/31/1962
259	3/7/1962	3/7/1962	11/3/1962	11/3/1962
266	3/16/1962	3/16/1962	5/23/1962	5/23/1962
267	3/16/1962	3/16/1962	6/18/1962	6/18/1962
269	4/6/1962	4/6/1962	8/23/1963	8/23/1963
270	4/6/1962	4/6/1962	10/6/1962	10/6/1962
272	4/9/1962	4/9/1962	5/4/1962	5/4/1962
276	4/18/1962	4/18/1962	5/28/1962	5/28/1962
281	4/24/1962	4/24/1962	10/17/1962	10/17/1962
283	4/24/1962	4/24/1962	8/5/1962	8/5/1962
284	4/26/1962	4/26/1962	6/17/1962	6/17/1962
285	4/26/1962	4/26/1962	5/24/1976	5/24/1976
287	4/26/1962	4/26/1962	4/29/1962	4/29/1962
288	4/26/1962	4/26/1962	4/28/1971	4/28/1971
290	4/28/1962	4/28/1962	5/26/1962	5/26/1962
292	5/15/1962	5/15/1962	11/26/1963	11/26/1963
293	5/15/1962	5/15/1962	7/3/1962	7/3/1962
294	5/15/1962	5/15/1962	7/13/1962	7/13/1962
295	5/24/1962	5/24/1962	5/24/1962	5/24/1962
296	5/24/1962	5/24/1962	5/25/1962	5/25/1962
297	5/28/1962	5/28/1962	5/2/1963	5/2/1963
298	5/28/1962	5/28/1962	12/15/1962	12/15/1962
302	5/30/1962	5/30/1962	6/11/1962	6/11/1962
304	6/2/1962	6/2/1962	6/28/1962	6/28/1962
305	6/2/1962	6/2/1962	6/21/1962	6/21/1962
306	6/2/1962	6/2/1962	6/6/1962	6/6/1962
307	6/17/1962	6/17/1962	6/18/1962	6/18/1962
308	6/18/1962	6/18/1962	10/30/1963	10/30/1963
310	6/18/1962	6/18/1962	7/12/1962	7/12/1962
314	6/18/1962	6/18/1962	7/14/1962	7/14/1962
315	6/23/1962	6/23/1962	7/7/1962	7/7/1962
316	6/28/1962	6/28/1962	9/14/1962	9/14/1962
321	6/29/1961	6/29/1961	2/26/1969	2/26/1969
322	6/29/1961	6/29/1961	6/6/1969	6/6/1969
328	6/29/1961	6/29/1961	5/3/1970	5/3/1970
332	6/29/1961	6/29/1961	9/20/1970	9/20/1970
338	6/30/1962	6/30/1962	9/8/1962	9/8/1962
339	6/30/1962	6/30/1962	8/8/1962	8/8/1962
342	7/18/1962	7/18/1962	7/25/1962	7/25/1962
343	7/18/1962	7/18/1962	7/27/1962	7/27/1962
344	7/21/1962	7/21/1962	8/14/1962	8/14/1962
345	7/28/1962	7/28/1962	8/24/1962	8/24/1962
346	7/28/1962	7/28/1962	8/1/1962	8/1/1962
347	7/28/1962	7/28/1962	8/21/1962	8/21/1962
352	6/29/1961	6/29/1961	12/10/1966	12/10/1966
358	6/29/1961	6/29/1961	8/31/1966	8/31/1966
359	6/29/1961	6/29/1961	8/31/1965	8/31/1965
360	8/2/1962	8/2/1962	8/26/1962	8/26/1962
361	8/5/1962	8/5/1962	8/6/1962	8/6/1962
362	8/2/1962	8/2/1962	8/8/1962	8/8/1962
363	8/11/1962	8/11/1962	8/15/1962	8/15/1962
364	8/11/1962	8/11/1962	8/14/1962	8/14/1962
365	8/12/1962	8/12/1962	8/15/1962	8/15/1962
366	8/12/1962	8/12/1962	8/14/1962	8/14/1962
367	8/18/1962	8/18/1962	8/17/1963	8/17/1963
368	8/18/1962	8/18/1962	12/19/1962	12/19/1962
371	8/25/1962	8/25/1962	8/28/1962	8/28/1962
372	8/25/1962	8/25/1962	9/2/1962	9/2/1962
373	8/25/1962	8/25/1962	8/31/1962	8/31/1962
376	8/25/1962	8/25/1962	9/5/1962	9/5/1962
377	8/29/1962	8/29/1962	9/10/1962	9/10/1962
379	8/25/1962	8/25/1962	8/30/1962	8/30/1962
380	8/25/1962	8/25/1962	9/6/1962	9/6/1962
381	9/1/1962	9/1/1962	9/6/1962	9/6/1962
382	9/1/1962	9/1/1962	9/3/1962	9/3/1962
383	9/1/1962	9/1/1962	10/1/1962	10/1/1962
384	9/1/1962	9/1/1962	9/21/1962	9/21/1962
385	9/1/1962	9/1/1962	10/26/1964	10/26/1964
386	8/25/1962	8/25/1962	9/8/1962	9/8/1962
387	8/25/1962	8/25/1962	9/5/1962	9/5/1962
389	9/12/1962	9/12/1962	9/14/1962	9/14/1962
390	9/12/1962	9/12/1962	9/12/1962	9/12/1962
391	9/12/1962	9/12/1962	9/17/1962	9/17/1962
392	9/12/1962	9/12/1962	9/13/1962	9/13/1962
393	9/12/1962	9/12/1962	9/13/1962	9/13/1962
394	9/12/1962	9/12/1962	9/16/1962	9/16/1962
395	9/12/1962	9/12/1962	9/15/1962	9/15/1962
396	9/17/1962	9/17/1962	11/19/1962	11/19/1962
422	9/27/1962	9/27/1962	10/1/1962	10/1/1962
423	9/27/1962	9/27/1962	12/22/1962	12/22/1962
425	9/27/1962	9/27/1962	10/6/1962	10/6/1962
427	9/29/1962	9/29/1962	10/14/1962	10/14/1962
428	9/27/1962	9/27/1962	10/8/1962	10/8/1962
429	9/27/1962	9/27/1962	10/4/1962	10/4/1962
430	9/27/1962	9/27/1962	10/8/1962	10/8/1962
431	9/27/1962	9/27/1962	10/3/1962	10/3/1962
432	10/2/1962	10/2/1962	5/28/1988	5/28/1988
433	10/3/1962	10/3/1962	10/3/1962	10/3/1962
434	10/3/1962	10/3/1962	10/4/1962	10/4/1962
435	9/27/1962	9/27/1962	10/6/1962	10/6/1962
436	10/9/1962	10/9/1962	11/16/1962	11/16/1962
437	10/17/1962	10/17/1962	10/21/1962	10/21/1962
438	10/17/1962	10/17/1962	11/5/1962	11/5/1962
441	10/20/1962	10/20/1962	5/18/1964	5/18/1964
442	10/20/1962	10/20/1962	6/5/1963	6/5/1963
443	10/24/1962	10/24/1962	10/29/1962	10/29/1962
444	10/26/1962	10/26/1962	10/5/1967	10/5/1967
445	10/27/1962	10/27/1962	1/15/1978	1/15/1978
448	11/1/1962	11/1/1962	11/3/1962	11/3/1962
449	11/1/1962	11/1/1962	11/3/1962	11/3/1962
451	11/4/1962	11/4/1962	11/5/1962	11/5/1962
452	11/4/1962	11/4/1962	11/8/1962	11/8/1962
453	11/5/1962	11/5/1962	12/3/1962	12/3/1962
454	11/4/1962	11/4/1962	1/19/1963	1/19/1963
455	11/11/1962	11/11/1962	11/12/1962	11/12/1962
456	10/24/1962	10/24/1962	12/2/1962	12/2/1962
457	10/24/1962	10/24/1962	2/26/1963	2/26/1963
458	10/24/1962	10/24/1962	11/29/1962	11/29/1962
459	10/24/1962	10/24/1962	12/4/1962	12/4/1962
460	10/24/1962	10/24/1962	12/8/1962	12/8/1962
