# SAT_NAME
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG     PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------   
1 00030U 60003  A 61228.60062239  .02125614 +00000-0 +00000-0 0  9990 | 2 00030 051.2500 356.4892 0000000 331.9473 028.0526 16.29358349075909 | 1961/08/16-14:24:53  184.4752   88.3783     6572.4017     6572.4017     6572.4017  51.153818  -3.138380   0.000000  -0.000000
1 00031U 60003  B 67275.67017494  .01669365 +00000-0 +00000-0 0  9994 | 2 00031 051.2007 317.7772 0014942 349.5805 010.4801 16.23394966418285 | 1967/10/02-16:05:03  294.1128   88.7030     6588.4873     6490.0421     6686.9325  37.916025 -34.407655   0.009067  -0.011877
1 00032U 60004  A 60115.70328308  .04582881 +00000-0 +00000-0 0  9995 | 2 00032 080.0999 205.8192 0176930 121.6216 239.2608 16.05408684001401 | 1960/04/24-16:52:43  259.1966   89.6968     6637.6055     5463.2139     7811.9970 -72.103757 -34.886132   0.149123  -0.095219
1 00033U 60003  C 60280.33271408  .00001932 +00000-0 +00000-0 0  9994 | 2 00033 051.2879 136.0668 0242757 196.7800 163.6100 15.38343354027003 | 1960/10/06-07:59:06  358.3031   93.6072     6829.1448     5171.3221     8486.9675 -36.934940  35.584532   0.216003  -0.110787
1 00034U 60005  A 62247.41570340  .02051518 +00000-0 +00000-0 0  9995 | 2 00034 064.9604 254.3998 0000000 066.3194 286.6963 16.39651632131532 | 1962/09/04-09:58:36  245.2843   87.8235     6544.8664     6544.8664     6544.8664 -17.469358 -62.567365   0.000000  -0.000000
1 00035U 60005  B 60198.16679572  .03271057 +00000-0 +00000-0 0  9991 | 2 00035 064.8899 044.6976 0000000 036.3819 323.6180 16.27523673009903 | 1960/07/16-04:00:11  309.3452   88.4780     6577.3401     6577.3401     6577.3401  46.125619  45.641280   0.000000   0.000000
1 00036U 60005  C 65282.77315291  .00738388 +17377-2 +00000-0 0  9992 | 2 00036 064.9598 314.3796 0027048 289.2310 070.4777 16.31478721308431 | 1965/10/09-18:33:20  342.4128   88.2635     6566.7059     6389.0896     6744.3222  45.433463 -46.428182  -0.012022  -0.024229
1 00037U 60005  D 61074.65882873  .00039007 +00000-0 +00000-0 0  9995 | 2 00037 064.8899 343.2411 0198403 333.4201 027.0840 15.49800338046906 | 1961/03/15-15:48:42   66.4410   92.9152     6795.4466     5447.2096     8143.6836  62.133804 -18.710679   0.144300  -0.136166
1 00038U 60005  E 60232.69066809  .00610805 +00000-0 +00000-0 0  9999 | 2 00038 064.8899 302.1218 0034213 049.4823 310.6691 15.88909013015003 | 1960/08/19-16:34:33  274.3919   90.6282     6683.4775     6454.8157     6912.1393  34.503313 -54.956533   0.033846  -0.004996
1 00039U 60005  F 60226.37184334  .00591427 +00000-0 +00000-0 0  9990 | 2 00039 064.8899 324.0258 0059941 055.6628 304.6251 15.82510302014005 | 1960/08/13-08:55:27  131.3464   90.9947     6701.4813     6299.7878     7103.1748  52.514201 -38.117683   0.056437   0.020195
1 00040U 60005  G 60196.98540115  .00376529 +00000-0 +00000-0 0  9992 | 2 00040 064.8899 065.1154 0142796 067.5265 293.2405 15.63031690009404 | 1960/07/14-23:38:58  221.6938   92.1287     6757.0425     5792.1639     7721.9212  27.305151  58.865337  -0.096732   0.105041
1 00041U 60005  H 60213.55741600  .00877296 +00000-0 +00000-0 0  9995 | 2 00041 064.8899 009.0399 0041880 060.9395 299.2735 15.87027825012009 | 1960/07/31-13:22:40  140.5828   90.7356     6688.7580     6408.6328     6968.8831  64.083913  10.195646   0.014338   0.039349
1 00042U 60005  J 60229.62556458  .00384003 +00000-0 +00000-0 0  9995 | 2 00042 064.8899 312.6938 0125675 047.5739 312.9645 15.78145464014500 | 1960/08/16-15:00:48  236.9745   91.2463     6713.8323     5870.0714     7557.5931  44.000553 -47.693296   0.125674   0.000587
1 00043U 60006  A 74037.77776050  .00988543 +09018-2 +01753-4 0  9996 | 2 00043 033.0454 016.0357 0002584 233.4948 126.5498 16.39800644771946 | 1974/02/06-18:39:58   40.4235   87.8156     6544.4699     6527.5590     6561.3808  31.759596   9.128337  -0.000904  -0.002421
1 00044U 60006  B 60339.48320007  .05617416 +00000-0 +00000-0 0  9995 | 2 00044 033.0000 103.1687 0000000 237.9085 122.0914 16.16822545029905 | 1960/12/04-11:35:48  144.0678   89.0636     6606.3301     6606.3301     6606.3301  -7.518026  32.132216   0.000000  -0.000000
1 00045U 60007A   25292.29410313  .00001371  00000-0  35547-3 0  9994 | 2 00045  66.6922 277.3023 0252583 333.4813  25.3541 14.35685831345462 | 2025/10/19-07:03:30  217.7526  100.3005     7150.9251     5344.7230     8957.1273   8.476874 -66.151282  -0.083134  -0.238510
1 00046U 60007B   25292.06098844  .00001646  00000-0  32627-3 0  9992 | 2 00046  66.6878 165.3453 0189504 115.6102 246.4726 14.54298316421936 | 2025/10/19-01:27:49  242.3111   99.0168     7089.7813     5746.2394     8433.3233 -64.518318  16.871554   0.036015  -0.186050
1 00047U 60007C   25292.26833629  .00001208  00000-0  27750-3 0  9998 | 2 00047  66.6655 333.9650 0225048 313.4708  44.7870 14.44897953415995 | 2025/10/19-06:26:24  152.3660   99.6610     7120.4984     5518.0444     8722.9523  59.900691 -29.260828   0.067433  -0.214708
1 00048U 60008  A 60316.86378860  .00255821 +00000-0 +00000-0 0  9991 | 2 00048 082.8499 240.5639 0041854 221.9110 138.2461 16.10987363014500 | 1960/11/11-20:43:51  121.2325   89.3862     6622.2731     6345.1045     6899.4417 -40.716797 -72.154337  -0.009041   0.040866
1 00049U 60009  A 68144.86617407  .41988289 +00000-0 +00000-0 0  9999 | 2 00049 047.1857 303.1560 0018299 276.1888 083.6866 15.53427992360298 | 1968/05/23-20:47:17  250.3136   92.6982     6784.8631     6660.7069     6909.0193  25.806825 -39.503140  -0.014151  -0.011601
1 00050U 60009B   25292.08702937 -.00000047  00000-0  36999-3 0  9997 | 2 00050  47.2300 190.0896 0114013  16.2362 344.2036 12.20160561908267 | 2025/10/19-02:05:19  228.6102  118.0173     7969.9792     7061.2979     8878.6604 -46.499588  -8.274130  -0.102188  -0.050562
1 00051U 60009C   25292.14209177 -.00000042  00000-0  40768-3 0  9997 | 2 00051  47.2127  75.2348 0109596 198.7700 160.9030 12.18371522901788 | 2025/10/19-03:24:36    4.1085  118.1905     7977.7793     7103.4466     8852.1119  12.032557  45.653659   0.007654  -0.109328
1 00052U 60009D   76059.20960648 +.00000225 +00000-0 +10000-3 0  9997 | 2 00052 047.1450 002.7500 1406000 181.1400 000.0000 12.17682743007435 | 1976/02/28-05:01:49   48.7252  118.2574     7980.7874    -3240.1997    19201.7744  47.090707   2.261929  -1.402761  -0.095385
1 00053U 60009E   25291.89980783 -.00000109  00000-0 -22258-3 0  9998 | 2 00053  47.2798   6.6292 0098107  83.5869 277.6081 12.17391803906030 | 2025/10/18-21:35:43  343.7311  118.2857     7982.0589     7198.9630     8765.1547  46.963690   5.458141  -0.000370   0.098106
1 00054U 60010  A 60260.63050842  .09000678 +00000-0 +00000-0 0  9998 | 2 00054 079.6499 291.9186 0000000 070.2736 289.7263 16.45439868004506 | 1960/09/16-15:07:55  290.6280   87.5146     6529.5086     6529.5086     6529.5086  29.732429 -73.892417   0.000000   0.000000
1 00055U 60011  A 60232.67329979  .00000000 +00000-0 +00000-0 0  9993 | 2 00055 064.8999 133.4774 0000029 074.8933 285.1068 15.88175450000050 | 1960/08/19-16:09:33   76.9179   90.6701     6685.5353     6685.3415     6685.7292 -44.655571  47.094342  -0.000026  -0.000014
1 00056U 60011  B 60267.06075999  .41473555 +00000-0 +00000-0 0  9999 | 2 00056 064.9400 008.3000 0007000 015.2810 344.7297 16.37352814005552 | 1960/09/23-01:27:29   15.4643   87.9468     6550.9909     6505.1339     6596.8478  64.259805   9.374492   0.006415   0.002800
1 00057U 60012  A 60290.54695000  .04696393 +00000-0 +00000-0 0  9997 | 2 00057 080.9000 350.4820 0137900 045.7500 314.8230 16.18451648005105 | 1960/10/16-13:07:36  230.8975   88.9739     6601.8962     5691.4947     7512.2976  79.786306 -13.377418   0.111234   0.081507
1 00058U 60013A   25292.29277803  .00000134  00000-0  77211-4 0  9991 | 2 00058  28.3277 282.0658 0164887  13.1012 347.3749 13.46418158201570 | 2025/10/19-07:01:36  210.8700  106.9504     7463.6031     6232.9520     8694.2542   5.921477 -27.701890   0.070120  -0.149235
1 00059U 60013B   25292.27123377  .00000148  00000-0  82437-4 0  9997 | 2 00059  28.2480 281.4395 0189069  93.1694 269.0500 13.53150534210518 | 2025/10/19-06:30:34  201.9759  106.4183     7438.8266     6032.3751     8845.2780   5.602513 -27.686844   0.182956   0.047687
1 00060U 60014A   12087.77141234  .11240700  12162-4  82585-3 0  9996 | 2 00060 049.8769 297.0017 0014319 253.4265 106.9983 16.39420536586174 | 2012/03/27-18:30:50  165.8683   87.8359     6545.4814     6451.7567     6639.2062  22.644957 -44.439971  -0.014082  -0.002592
1 00061U 60015  A 60364.02705382  .10955548 +00000-0 +00000-0 0  9992 | 2 00061 081.8599 016.2232 0045646 000.3782 359.6234 16.28773935007101 | 1960/12/29-00:38:57   90.9905   88.4101     6573.9738     6273.8982     6874.0494  78.600291  22.870012   0.043743   0.013042
1 00062U 60014  B 85299.99371213  .22611759 +59541-4 +14030-2 0  9998 | 2 00062 049.8852 300.2652 0004622 342.1851 017.9663 16.41189261236970 | 1985/10/26-23:50:56   92.6135   87.7413     6540.7778     6510.5463     6571.0093  25.142297 -43.085938   0.000996  -0.004513
1 00063U 60016A   14137.84158636  .05029428  11996-4  29744-3 0  9998 | 2 00063 048.4363 277.0735 0002693 070.9689 289.2672 16.41566560916315 | 2014/05/17-20:11:53  261.1077   87.7211     6539.7756     6522.1639     6557.3872   5.964567 -48.067651   0.002635  -0.000558
1 00064U 60016  B 81266.64980638  .07532016 +56009-4 +21805-2 0  9996 | 2 00064 048.4675 356.4796 0009546 002.9809 357.3240 16.26432176126830 | 1981/09/23-15:35:43  239.5433   88.5374     6580.2825     6517.4671     6643.0978  48.376042  -2.976094   0.009546  -0.000090
1 00065U 60017  A 60336.92132948  .03564668 +00000-0 +00000-0 0  9999 | 2 00065 065.0000 216.0710 0035092 066.5949 293.5926 16.29251414000101 | 1960/12/01-22:06:42  186.1794   88.3841     6572.6893     6342.0405     6803.3381 -52.538720 -38.271176   0.007694  -0.034238
1 00066U 60017  B 60337.83657837  .11466851 +00000-0 +00000-0 0  9994 | 2 00066 065.0000 212.5878 0000000 066.1541 293.8458 16.49838039000258 | 1960/12/02-20:04:40  160.2419   87.2813     6517.8991     6517.8991     6517.8991 -54.766861 -35.008440   0.000000  -0.000000
1 00067U 60018  A 61089.88313007  .02166348 +00000-0 +00000-0 0  9992 | 2 00067 081.4799 311.2902 0075215 087.1562 273.2815 16.16589761017703 | 1961/03/30-21:11:42  194.2126   89.0764     6606.9643     6110.0215     7103.9071  53.766399 -61.222124   0.058908   0.046767
1 00068U 60019  A 61019.69206429  .02230165 +00000-0 +00000-0 0  9994 | 2 00068 083.3999 075.4323 0097000 059.4404 301.0452 16.11424390004700 | 1961/01/19-16:36:34  292.0553   89.3619     6621.0757     5978.8314     7263.3200  20.977058  80.718687  -0.068437   0.068742
1 00069U 60014  C 70043.96232070  .03036540 +00000-0 +00000-0 0  9990 | 2 00069 049.2657 017.1807 0033130 020.6026 339.6235 15.95021175456721 | 1970/02/12-23:05:44  111.6036   90.2809     6666.3924     6445.5348     6887.2500  47.067362  14.552410   0.026184   0.020298
1 00070U 61001  A 73292.92472414  .01443247 +04320-2 +00000-0 0  9997 | 2 00070 097.2180 059.4674 0007333 251.3728 108.6719 16.34625053711865 | 1973/10/19-22:11:36  301.6222   88.0936     6558.2768     6510.1849     6606.3686  49.389517  83.737776   0.004795  -0.005548
1 00071U 61002  A 61047.49722528  .00429368 +00000-0 +00000-0 0  9996 | 2 00071 064.8999 143.3748 0088244 053.9095 306.5050 16.13209726002000 | 1961/02/16-11:56:00  181.4479   89.2630     6616.1898     6032.3507     7200.0288 -52.085750  38.717847  -0.084259  -0.026218
1 00072U 61002  B 61041.25747823  .01981552 +00000-0 +00000-0 0  9999 | 2 00072 064.9004 166.3199 0014185 050.9188 309.1453 16.20395132001007 | 1961/02/10-06:10:46   66.3941   88.8672     6596.6163     6503.0433     6690.1893 -63.059261  15.348990  -0.011293  -0.008584
1 00073U 61002  C 61074.86322116  .02217689 +00000-0 +00000-0 0  9991 | 2 00073 064.8865 042.5218 0062814 057.7291 302.5799 16.32431997006403 | 1961/03/15-20:43:02   81.1382   88.2119     6564.1492     6151.8287     6976.4696  47.822663  43.854883  -0.011178   0.061811
1 00074U 60016  C 89127.00883376  .02098965 +49187-2 +22120-2 0  9995 | 2 00074 048.5374 350.7700 0009533 238.7285 120.9850 16.11032606545411 | 1989/05/07-00:12:43  237.5191   89.3837     6622.1491     6559.0201     6685.2780  47.908958  -7.785303  -0.006191  -0.007249
1 00075U 60016  D 90023.65502152  .03695442 +15733-4 +16800-2 0  9998 | 2 00075 048.5003 110.5790 0012245 332.5609 027.6347 16.20974718995668 | 1990/01/23-15:43:13  247.7465   88.8354     6595.0437     6514.2874     6675.8001 -17.047785  45.405420   0.001463   0.012157
1 00076U 61003  B 61046.11847496  .02053904 +00000-0 +00000-0 0  9993 | 2 00076 065.0109 175.1827 0020416 019.8990 340.1414 16.18307633000506 | 1961/02/15-02:50:36   12.3050   88.9818     6602.2878     6467.4955     6737.0801 -64.781252   5.459532  -0.019713  -0.005312
1 00077U 61003  C 61054.18649006  .02195001 +00000-0 +00000-0 0  9992 | 2 00077 065.0109 145.4230 0055625 017.7415 342.3569 16.25160317001807 | 1961/02/23-04:28:32   74.4444   88.6066     6583.7152     6217.4960     6949.9343 -53.527651  36.894549  -0.053241   0.016110
1 00078U 61003  D 61043.08113194  .00392946 +00000-0 +00000-0 0  9999 | 2 00078 065.0109 186.4129 0080516 020.4596 339.7037 16.08399757000013 | 1961/02/12-01:56:49  344.5147   89.5300     6629.3738     6095.6032     7163.1445 -64.604114  -7.261241  -0.071821  -0.036394
1 00079U 61001  B 70282.13435484  .09201103 +00000-0 +00000-0 0  9991 | 2 00079 097.3467 044.2350 0032610 143.8795 216.4665 16.49960777540859 | 1970/10/09-03:13:28   21.1153   87.2748     6517.5759     6305.0377     6730.1140  69.747411  67.909341  -0.032284  -0.004603
