# SAT_NAME
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG     PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------   
1 22429U 92093DW  17327.76643934  .13541257  37066-5  16823-2 0  9991 | 2 22429  71.0510 209.4693 0009197 222.9921 137.0599 16.35803079340510 | 2017/11/23-18:23:40  129.3115   88.0302     6555.1278     6494.8402     6615.4153 -61.858380 -34.954047   0.002771   0.008769
1 22430U 92093DX  25292.29876910  .00000319  00000-0  25066-3 0  9991 | 2 22430  71.2383 349.8548 0113148  45.7443  22.3355 13.95955510666857 | 2025/10/19-07:10:13   77.6400  103.1552     7285.9713     6461.5782     8110.3644  70.124456 -12.548152   0.092002   0.065865
1 22431U 92093DY  14079.89739933  .00046188  43962-5  10000-3 0  9997 | 2 22431 070.7794 264.4398 0019819 281.9548 077.9561 15.98193626 97943 | 2014/03/20-21:32:15  237.0467   90.1017     6657.5675     6525.6212     6789.5138  -6.857926 -70.446379  -0.019696  -0.002207
1 22432U 92093DZ  25292.14336464  .00001358  00000-0  80675-3 0  9993 | 2 22432  70.8350  29.1071 0102014 339.0008  91.0269 14.06753468671970 | 2025/10/19-03:26:26  340.3410  102.3634     7248.6397     6509.1769     7988.1024  61.889386  34.457236   0.100994   0.014388
1 22433U 92093EA  25138.52262322  .07367222  10250+0  17731-1 0  9996 | 2 22433  71.0881  67.5767 0023748 200.3613 159.6662 16.00830386680967 | 2025/05/18-12:32:34  356.9888   89.9533     6650.2550     6492.3247     6808.1852  27.116294  65.713199  -0.000854  -0.023733
1 22434U 92093EB  99320.39873551  .09677510  20954+0  41842-1 0  9996 | 2 22434 071.2496 077.1399 0025042 327.7221 053.6780 15.91891115362493 | 1999/11/16-09:34:10  100.0258   90.4584     6675.1281     6507.9695     6842.2866  15.858113  69.462405   0.017750   0.017665
1 22435U 92093EC  24342.52592372  .09025127  18168+0  28262-1 0  9999 | 2 22435  71.2955  18.2039 0010243  19.1756 340.9847 15.97878075654871 | 2024/12/07-12:37:19  247.7454   90.1195     6658.4440     6590.2415     6726.6464  67.727217  22.272684   0.008139   0.006218
1 22436U 92093ED  25292.20944507  .00017061  00000-0  22322-2 0  9999 | 2 22436  71.5077 340.5591 0036175 129.5947 288.1454 14.79975811729789 | 2025/10/19-05:01:36   65.0307   97.2989     7007.5375     6754.0398     7261.0352  67.430710 -23.800219  -0.012464   0.033960
1 22437U 92093EE  25292.21699184  .00007513  00000-0  17922-2 0  9990 | 2 22437  71.3313 300.5554 0037838 240.1655 119.5727 14.53539882713878 | 2025/10/19-05:12:28  165.7606   99.0685     7092.2473     6823.8909     7360.6038  36.262782 -61.426094  -0.037835  -0.000476
1 22438U 92093EF  22321.16292378  .20234337  32455-5  99565-2 0  9994 | 2 22438  71.2879 233.3098 0016408 181.9426 178.1744 16.20449034565576 | 2022/11/17-03:54:36  241.4238   88.8643     6596.4700     6488.2351     6704.7049 -42.593665 -57.164188   0.009352   0.013482
1 22439U 92093EG  98345.37907575  .04065679  00000-0  20675-1 0  9993 | 2 22439 071.3812 309.7909 0004562 031.7079 328.4291 15.77247808318252 | 1998/12/11-09:05:52  266.4209   91.2983     6716.3794     6685.7393     6747.0195  45.683088 -54.848256   0.004326  -0.001448
1 22440U 92093EH  99055.39134473  .06702310  00000-0  10011-1 0  9990 | 2 22440 071.3647 167.1177 0064648 310.2252 049.3768 16.00373125328553 | 1999/02/24-09:23:32  127.9816   89.9790     6651.5216     6221.5141     7081.5292 -69.568459  15.910687  -0.029694   0.057425
1 22441U 92093EJ  25292.33837683  .00000648  00000-0  41950-3 0  9997 | 2 22441  71.1972  40.5892 0087134 291.1532 128.1590 14.04612723676337 | 2025/10/19-08:07:15   49.9710  102.5194     7256.0028     6623.7583     7888.2474  54.066724  46.323112   0.076750  -0.041252
1 22442U 92093EK  25292.10026838  .00013330  00000-0  36119-2 0  9997 | 2 22442  71.0992 299.0671 0090364  75.1905 285.9224 14.45345389684340 | 2025/10/19-02:24:23  123.7387   99.6302     7119.0288     6475.7248     7762.3327  34.542378 -62.144351   0.087581   0.022255
1 22443U 92093EL  25176.22145661  .12319066  33686-5  94757-2 0  9999 | 2 22443  71.0326 118.1377 0024621 215.2759 144.6839 16.14012607679757 | 2025/06/25-05:18:53  235.2333   89.2186     6613.9955     6451.1523     6776.8386 -33.498421  62.637737   0.022018  -0.011019
1 22444U 92093EM  25292.29176609  .00000955  00000-0  57014-3 0  9998 | 2 22444  71.3222  41.5760 0080486 267.9417 120.2742 14.08040844678473 | 2025/10/19-07:00:08   63.2547  102.2698     7244.2207     6661.1624     7827.2790  53.354435  47.330333   0.051215  -0.062089
1 22445U 92093EN  25292.01084259  .00000670  00000-0  35841-3 0  9996 | 2 22445  71.2861 142.4467 0075813 204.7112 155.0375 14.15153636684271 | 2025/10/19-00:15:36  249.4419  101.7557     7219.9266     6672.5623     7767.2909 -56.514671  43.448820   0.073917  -0.016851
1 22446U 93007A   25291.93516899 -.00000055  00000-0  00000-0 0  9997 | 2 22446  53.4105 251.7606 0027415  38.2754 143.3605  1.88095062229467 | 2025/10/18-22:26:38  290.9237  765.5703    27721.5119    26961.5266    28481.4971 -16.716851 -50.726999   0.009393  -0.025756
1 22447U 93007B   23356.43749157  .11579802 -19574-4  81819-3 0  9991 | 2 22447  20.7924 231.4655 0032631  80.6372 106.7720 16.37642803698648 | 2023/12/22-10:29:59  189.3499   87.9313     6550.2175     6336.4773     6763.9576 -12.953369 -16.264505   0.021878  -0.024210
1 22448U 93007C   02253.96681179 +.50569139 +96362-6 +10077-2 0  9995 | 2 22448 034.5698 186.5218 0036246 284.6139 075.0781 16.42748309238175 | 2002/09/10-23:12:12  151.6506   87.6580     6536.6388     6299.7118     6773.5658 -34.346089  -3.926481  -0.013070   0.033808
1 22449U 92071  C 93036.41831828  .78682530 +58260-4 +70087-1 0  9993 | 2 22449 051.6272 160.9297 0009205 028.1383 342.9615 16.28076790398580 | 1993/02/05-10:02:22  114.1281   88.4479     6575.8503     6515.3196     6636.3810 -48.793817  16.868053  -0.009090  -0.001451
1 22450U 92093EP  97259.90822001 +.05681180 +54424-1 +18439-1 0  9995 | 2 22450 070.7555 069.8536 0016947 291.4860 068.4368 15.95516052254812 | 1997/09/16-21:47:50  253.0589   90.2529     6665.0138     6552.0619     6777.9658  24.369616  66.426370   0.016942   0.000396
1 22451U 92093EQ  25292.34440875  .00000147  00000-0  13384-3 0  9996 | 2 22451  71.1366 256.3555 0130371 177.4007 333.8112 13.94261268666115 | 2025/10/19-08:15:56  104.4825  103.2805     7291.8725     6341.2238     8242.5212 -16.780906 -69.128989   0.036468   0.125167
1 22452U 92093ER  01021.57587846  .22710613  38250-5  10879-1 0  9993 | 2 22452 070.9051 087.1281 0016540 034.6260 336.7753 16.20774496427219 | 2001/01/21-13:49:15  229.7822   88.8464     6595.5869     6486.4959     6704.6779   3.552567  70.816047  -0.008705   0.014064
1 22453U 92093ES  25292.29344912  .00001287  00000-0  99149-3 0  9996 | 2 22453  70.8028 264.6289 0164162  70.4620  43.3345 13.88749853653685 | 2025/10/19-07:02:34  115.2288  103.6904     7311.1522     6110.9388     8511.3655  -6.627577 -70.491927   0.148891  -0.069142
1 22454U 92093ET  25292.09710804  .00000371  00000-0  27137-3 0  9993 | 2 22454  70.9168 181.9264 0104238 166.5003 193.8939 13.99810739671231 | 2025/10/19-02:19:50  240.4573  102.8710     7272.5876     6514.5076     8030.6676 -70.876720  -2.383917   0.102119  -0.020912
1 22455U 92093EU  25291.71504383  .00029126  00000-0  55377-2 0  9990 | 2 22455  70.8446 136.8581 0065868 326.8476 152.3251 14.62619455681120 | 2025/10/18-17:09:39   28.8274   98.4535     7062.8656     6597.6488     7528.0825 -51.692641  48.444073  -0.015606   0.063992
1 22456U 92093EV  25292.23826944  .00040088  00000-0  81497-2 0  9991 | 2 22456  71.2333 309.9341 0067397   2.5008 123.0707 14.59445641679517 | 2025/10/19-05:43:06   38.2295   98.6676     7073.1015     6596.3957     7549.8074  45.725090 -54.620501   0.045476  -0.049742
1 22457U 92093EW  00090.36251275  .05985050  00000-0  55430-1 0  9993 | 2 22457 070.5668 073.1043 0034872 145.7729 214.6140 15.66451828379521 | 2000/03/30-08:42:01  245.0611   91.9275     6747.2035     6511.9151     6982.4920  20.508856  67.520812  -0.027148  -0.021888
1 22458U 92093EX  25292.13330027  .00000348  00000-0  25035-3 0  9996 | 2 22458  70.8529 320.0510 0074695 235.9276 184.0096 14.02558089675008 | 2025/10/19-03:11:57   55.8545  102.6695     7263.0874     6720.5711     7805.6037  54.316988 -45.495036  -0.071809  -0.020562
1 22459U 92093EY  24277.45684882  .22745733  37483-5  18123-1 0  9991 | 2 22459  71.1244  63.4857 0022870 323.8258  36.1420 16.13619412642895 | 2024/10/03-10:57:51  113.6540   89.2404     6615.0699     6463.7832     6766.3565  31.751437  63.643747   0.020321   0.010493
1 22460U 92093 EZ 93174.00964461  .05482387 +12999-5 +14884-1 0  9999 | 2 22460 070.5120 144.4887 0042493 229.6607 131.1034 15.92322582024133 | 1993/06/23-00:13:53  129.3988   90.4339     6673.9222     6390.3272     6957.5172 -57.396837  40.957848   0.041204   0.010387
1 22461U 92093FA  96206.75812427 +.07167699 +21919-0 +11922-1 0  9990 | 2 22461 070.6643 329.5757 0022452 303.9387 062.4673 16.10663775191875 | 1996/07/24-18:11:41  239.6850   89.4041     6623.1600     6474.4568     6771.8632  60.933753 -35.784368   0.001376  -0.022410
1 22462U 92093FB  12358.87635195  .05082308  45228-1  20774-1 0  9991 | 2 22462 070.6882 160.4296 0017003 000.8347 359.7069 15.91669897 40745 | 2012/12/23-21:01:56  247.3158   90.4710     6675.7465     6562.2388     6789.2543 -66.604587  23.678062  -0.016102   0.005461
1 22463U 92093FC  13012.82162495  .05060575  32668-1  21209-1 0  9993 | 2 22463 070.3321 171.2700 0022592 344.2039 017.1344 15.89223616 45987 | 2013/01/12-19:43:08  235.6359   90.6103     6682.5954     6531.6222     6833.5686 -69.517271  10.674892  -0.020554   0.009378
1 22464U 92093FD  01090.96029850 +.08436645 +20123-0 +22149-1 0  9993 | 2 22464 070.9213 306.2938 0008813 261.2878 103.3559 16.02123525438140 | 2001/03/31-23:02:49  224.1538   89.8807     6646.6760     6588.0989     6705.2532  41.980159 -57.162025  -0.007811  -0.004081
1 22465U 92093FE  01005.57410858  .08157751  00000-0  23325-1 0  9996 | 2 22465 071.2251 039.4309 0002414 256.2308 103.9176 15.92970706418741 | 2001/01/05-13:46:42  272.3230   90.3971     6672.1118     6656.0053     6688.2183  55.013637  45.238420   0.001045  -0.002176
1 22466U 92093FF  01075.53808631  .08294382  14017+0  35429-1 0  9992 | 2 22466 070.6582 141.0182 0024539 327.4586 032.4490 15.91534017426577 | 2001/03/16-12:54:50  226.9683   90.4787     6676.1265     6512.3010     6839.9520 -54.925857  44.449201  -0.007777   0.023274
1 22467U 92093FG  01236.44386285 +.08767223 +23618-0 +30707-1 0  9999 | 2 22467 070.8172 261.5277 0006381 257.8895 102.1607 15.97995757447848 | 2001/08/24-10:39:09  230.9921   90.1129     6658.1171     6615.6316     6700.6025 -10.433586 -70.044387  -0.005974   0.002243
1 22468U 92093FH  24338.76659305  .09491932  22764+0  40885-1 0  9999 | 2 22468  71.0748 226.5956 0023373 167.3576 192.8231 15.92793897642186 | 2024/12/03-18:23:53  122.2689   90.4072     6672.6056     6516.6467     6828.5644 -48.838573 -51.637399   0.019388   0.013054
1 22469U 92093FJ  05104.33906028  .04296901  24475-1  17784-1 0  9999 | 2 22469 071.1050 078.0121 0018532 210.8616 149.1637 15.89816509636964 | 2005/04/14-08:08:14  246.6258   90.5765     6680.9339     6557.1228     6804.7449  14.768872  69.554306   0.005995  -0.017536
1 22470U 92093FK  00140.97811421 +.08571742 +17059-0 +47102-1 0  9997 | 2 22470 071.3292 197.2573 0026070 307.3352 053.2708 15.87744299386001 | 2000/05/19-23:28:29   32.1947   90.6947     6686.7456     6512.4221     6861.0690 -68.118113 -21.160752  -0.021248   0.015105
1 22471U 92093FL  24084.95780883  .08433482  14909+0  40293-1 0  9998 | 2 22471  71.0679  45.7814 0017511 198.4917 161.5663 15.89943472625475 | 2024/03/24-22:59:14  121.8775   90.5693     6680.5782     6563.5946     6797.5618  49.562597  50.933244  -0.007601  -0.015775
1 22472U 92093FM  03297.04408593 +.03983930 +27778-1 +58456-2 0  9991 | 2 22472 071.1828 321.9901 0010088 338.4549 020.4929 16.08489625575635 | 2003/10/24-01:03:29   86.9655   89.5250     6629.1269     6562.2523     6696.0015  56.085239 -43.834199   0.005112  -0.008697
1 22473U 92093FN  24263.46116729  .11142323  00000-0  38335-1 0  9994 | 2 22473  71.2935  52.5313 0017147 317.9387  42.0508 15.84285209636169 | 2024/09/19-11:04:04  112.3465   90.8927     6696.4752     6581.6507     6811.2996  43.369828  56.584637   0.016862   0.003116
1 22474U 92093FP  25292.27532985  .00015456  00000-0  73588-2 0  9997 | 2 22474  71.3003  40.1844 0145290 168.1894 192.2700 14.13979151656250 | 2025/10/19-06:36:28   86.4696  101.8403     7223.9240     6174.3601     8273.4880  54.471414  46.006497  -0.127836  -0.069045
1 22475U 92093FQ  23364.90990486  .04541374  29147-1  12134-1 0  9990 | 2 22475  71.2327 181.2712 0008970   6.9517 353.1824 15.98108125630553 | 2023/12/30-21:50:15  245.2389   90.1065     6657.8050     6598.0844     6717.5255 -71.215169  -1.580284  -0.008878  -0.001283
1 22476U 92093FR  25291.32903526  .00001581  00000-0  19794-2 0  9990 | 2 22476  71.5478  50.1420 0469637 319.1264  37.5461 13.27258713571174 | 2025/10/18-07:53:48   98.7001  108.4943     7535.2578     3996.4220    11074.0937  45.854062  54.922606   0.463506   0.075640
1 22477U 92093FS  25174.34381547  .13940358  37868-5  24525-2 0  9999 | 2 22477  70.7956   7.7262 0016864 261.5891  98.3431 16.32065488724531 | 2025/06/23-08:15:05   27.8709   88.2318     6565.1319     6454.4175     6675.8463  70.152905   9.517713  -0.000202  -0.016863
1 22478U 92093FT  23347.66481531  .02865529  00000-0  11831-1 0  9991 | 2 22478  71.2788 294.7946 0016705 141.8797 218.3600 15.82490244626323 | 2023/12/13-15:57:20   26.3801   90.9958     6701.5379     6589.5887     6813.4871  29.891943 -64.708107   0.003850   0.016255
1 22479U 92093FU  96125.72542370 +.27283490 +34009-5 +95479-2 0  9992 | 2 22479 071.3691 243.0592 0010631 334.6299 034.9325 16.24871220179337 | 1996/05/04-17:24:36  231.4032   88.6224     6584.4961     6514.4963     6654.4959 -32.335172 -63.623778  -0.008413  -0.006500
1 22480U 92093FV  25068.10850696  .08450482  20506+0  21957-1 0  9993 | 2 22480  71.0435 202.0317 0024865 333.6155  26.3796 16.01859255668784 | 2025/03/09-02:36:15    4.0809   89.8955     6647.4070     6482.1192     6812.6948 -65.855652 -26.649804  -0.024793   0.001887
1 22481U 92093FW  21305.95797225  .01482181  00000-0  11680-1 0  9999 | 2 22481  71.2297 130.9458 0003438  39.7581 320.3875 15.68576292503162 | 2021/11/01-22:59:28  255.2287   91.8030     6741.1099     6717.9340     6764.2859 -46.680014  53.801919  -0.003393   0.000555
1 22482U 92093FX  00108.90620290 +.05720595 +00000-0 +59942-1 0  9991 | 2 22482 071.4233 300.2127 0027142 226.5436 141.8017 15.59747066379819 | 2000/04/17-21:44:55  224.0003   92.3227     6766.5255     6582.8685     6950.1825  35.941026 -61.721393  -0.026420   0.006218
1 22483U 92093 FY 93051.47949595  .00007937 +00000-0 +44994-4 0  9992 | 2 22483 071.0578 090.0043 0080022 086.7505 274.2155 15.74409064002792 | 1993/02/20-11:30:28  232.0563   91.4629     6724.4503     6186.3463     7262.5542  -0.005333  71.057800  -0.079894   0.004530
1 22484U 92093FZ  01317.05055826 +.06863329 +15711-0 +16810-1 0  9995 | 2 22484 071.0890 185.3038 0009082 252.2663 107.7591 16.04149213467727 | 2001/11/13-01:12:48  245.1009   89.7672     6641.0793     6580.7650     6701.3936 -70.784637  -6.571227   0.001955   0.008869
1 22485U 92093GA  15302.90433567 +.06861281 +87969-1 +25571-1 0  9995 | 2 22485 070.4041 148.8733 0009081 254.8938 188.9801 15.93867060178938 | 2015/10/29-21:42:14  130.7148   90.3463     6669.6101     6609.0433     6730.1768 -60.267760  36.394153   0.006558   0.006282
1 22486U 90104 AG 93094.54349330 -.32180464 +4639000 +11698-1 0  9998 | 2 22486 082.4687 205.1585 0020445 302.4469 057.8853 16.08576628130647 | 1993/04/04-13:02:37  183.0208   89.5201     6628.8879     6493.3602     6764.4155 -74.645324 -35.059407  -0.017263   0.010953
1 22487U 93008A   25292.23162707  .00000082  00000-0  68048-4 0  9991 | 2 22487  82.9488   1.3266 0039259  69.9913 344.5514 13.76014009636885 | 2025/10/19-05:33:32   55.4680  104.6501     7356.1956     7067.3988     7644.9925  82.926567   1.920387   0.012575   0.037190
1 22488U 93008B   25292.23792433  .00000185  00000-0  16917-3 0  9998 | 2 22488  82.9431 331.3482 0024455 330.6484  97.2952 13.77975021643419 | 2025/10/19-05:42:36   74.3187  104.5012     7349.2149     7169.4898     7528.9399  72.786704 -39.770008   0.012958  -0.020740
1 22489U 93009A   25291.21867482  .00000805  00000-0  16600-3 0  9992 | 2 22489  24.9641 250.3253 0039903 128.5698 231.8394 14.46877590726103 | 2025/10/18-05:14:53  214.9416   99.5247     7114.0020     6830.1320     7397.8720  -8.404901 -23.506678   0.037753   0.012922
1 22490U 93009B   25292.02867662  .00000727  00000-0  14823-3 0  9992 | 2 22490  24.9692 256.4149 0042299 105.8255 305.3482 14.45948639726175 | 2025/10/19-00:41:17   90.4865   99.5886     7117.0486     6816.0045     7418.0926  -5.864999 -24.270615   0.042267   0.001654
1 22491U 93009C   25292.01300595  .00001937  00000-0  37007-3 0  9992 | 2 22491  24.9763 167.1849 0044450  26.7733 333.5062 14.57445382734405 | 2025/10/19-00:18:43  224.9538   98.8030     7079.5717     6764.8847     7394.2586 -24.354164   5.539880  -0.043137  -0.010722
1 22492U 92093GB  99001.86791299  .05831810  45754-1  22461-1 0  9990 | 2 22492 070.9134 167.0920 0007709 198.3622 158.1131 15.91453214321779 | 1999/01/01-20:49:47  249.9433   90.4833     6676.3525     6624.8845     6727.8205 -69.121419  15.841076   0.007674   0.000733
1 22493U 92093GC  25292.31483754  .00005853  00000-0  13506-2 0  9996 | 2 22493  71.0412  33.0808 0096703 209.7427 149.8199 14.52807009736020 | 2025/10/19-07:33:21  108.7317   99.1185     7094.6323     6408.5601     7780.7045  59.525540  38.775794  -0.044167  -0.086027
1 22494U 92093GD  25292.03980801  .00011110  00000-0  55978-2 0  9993 | 2 22494  70.8111 233.7045 0148544  62.0734  65.5310 14.10917258655164 | 2025/10/19-00:57:19   40.7845  102.0613     7234.3716     6159.7491     8308.9941 -41.916622 -57.071960   0.064599  -0.133762
1 22495U 92093GE  24022.58669515  .05353639  00000-0  29140-1 0  9991 | 2 22495  71.1364 169.7928 0030081 352.8542   7.2231 15.74864604610398 | 2024/01/22-14:04:50  162.7699   91.4364     6723.1535     6520.9143     6925.3927 -70.010549  12.605969  -0.028712   0.008972
1 22496U 92093GF  25292.26287314  .00000263  00000-0  20977-3 0  9998 | 2 22496  71.2156 213.4985 0088363  36.8640 118.8917 13.97807786669152 | 2025/10/19-06:18:32  113.3625  103.0185     7279.5333     6636.2919     7922.7747 -59.386708 -39.304969  -0.029696  -0.083224
1 22497U 92093GG  99142.57180350 +.08308280 +22235-0 +21529-1 0  9994 | 2 22497 071.0563 352.8917 0032419 257.5867 102.1803 16.02149733341607 | 1999/05/22-13:43:23   92.9369   89.8792     6646.6035     6431.1273     6862.0798  70.510163  -8.792878  -0.010833  -0.030555
1 22498U 92093GH  15293.49396780  .05532742  41181-1  17144-1 0  9996 | 2 22498  71.2020  15.8296 0017339 339.4883  21.1138 15.95124593192025 | 2015/10/20-11:51:18  190.0225   90.2751     6666.1042     6550.5207     6781.6878  68.501821  19.422290   0.017281  -0.001415
1 22499U 92093GJ  24262.21208362  .07493164  00000-0  29246-1 0  9997 | 2 22499  71.3212 315.6987 0016144 314.7489  45.2408 15.82619314639725 | 2024/09/18-05:05:24  118.2776   90.9884     6701.1736     6592.9898     6809.3573  51.042934 -49.812974   0.000126  -0.016144
1 22500U 92093GK  25292.11867865  .00001289  00000-0  52380-3 0  9995 | 2 22500  70.8477 193.5075 0058712 140.3141 220.2307 14.28570097695965 | 2025/10/19-02:50:53  236.5122  100.8001     7174.6514     6753.4133     7595.8895 -68.888007 -16.548085   0.052690  -0.025902
1 22501U 92093GL  13307.30465506  .04213796  00000-0  23958-1 0  9996 | 2 22501 070.9241 278.2384 0009680 148.0930 212.1667 15.75149325 90935 | 2013/11/03-07:18:42  233.8934   91.4199     6722.3433     6657.2710     6787.4156  10.162874 -70.192193   0.003886   0.008866
1 22502U 92093GM  25291.25039449  .00000360  00000-0  30238-3 0  9997 | 2 22502  70.8135 105.4134 0154791 278.8846 204.0387 13.89563820660736 | 2025/10/18-06:00:34  248.7897  103.6296     7308.2968     6177.0382     8439.5554 -18.820924  68.266570   0.141079   0.063694
1 22503U 92093GN  19135.28643633 +.01404035 +00000-0 +62511-2 0  9993 | 2 22503 071.1582 230.0637 0017104 304.1269 055.8318 15.81459241385890 | 2019/05/15-06:52:28  105.8145   91.0551     6704.4502     6589.7773     6819.1232 -45.678978 -54.561162  -0.017016   0.001731
1 22504U 92093GP  24149.21038509  .08695994  15684+0  21673-1 0  9997 | 2 22504  71.1953 225.4284 0022634 320.1945  39.7613 16.00817635634435 | 2024/05/28-05:02:57   96.5905   89.9540     6650.2903     6499.7676     6800.8129 -49.964864 -50.717680  -0.022525  -0.002218
1 22505U 92093GQ  11104.68994018  .09707964  32095+0  27167-1 0  9993 | 2 22505 070.7119 311.7066 0014758 243.6818 116.0543 16.02071135958606 | 2011/04/14-16:33:30  139.4365   89.8836     6646.8209     6548.7271     6744.9147  47.045784 -52.790786  -0.014229  -0.003916
1 22506U 92093GR  16070.77965451  .08416464  69271+0  27195-1 0  9998 | 2 22506  70.6178 216.6780 0019120 325.8629  34.5392 16.06287843201019 | 2016/03/10-18:42:42  232.4649   89.6477     6635.1833     6508.3186     6762.0480 -56.635833 -42.181230  -0.019101  -0.000848
1 22507U 92093GS  00166.99279108 +.11670659 +00000-0 +10574-0 0  9999 | 2 22507 070.9925 029.7783 0029355 247.4825 119.0227 15.61631411381588 | 2000/06/14-23:49:37  224.6995   92.2113     6761.0812     6562.6096     6959.5527  61.618197  35.258089   0.003710  -0.029120
1 22508U 92093GT  99132.21583074  .28582507  00000-0  56690-1 0  9998 | 2 22508 070.9230 179.4336 0004250 351.5405 008.6283 15.99679838332872 | 1999/05/12-05:10:47  127.6357   90.0180     6653.4433     6625.1662     6681.7204 -70.919535   0.701101  -0.004197   0.000667
1 22509U 92093GU  25290.89408507  .00005774  00000-0  23490-2 0  9993 | 2 22509  71.1265 103.0412 0104066 143.4945   8.0210 14.24966892680905 | 2025/10/17-21:27:28   93.9471  101.0550     7186.7410     6438.8456     7934.6364 -16.049812  69.292009  -0.041437  -0.095461
1 22510U 92093GV  98062.65081331  .14396884  10512+1  42705-1 0  9996 | 2 22510 070.9652 236.1721 0015558 325.0104 035.0334 16.03572377272080 | 1998/03/03-15:37:10  159.2881   89.7995     6642.6718     6539.3251     6746.0185 -39.506341 -58.951749  -0.014507  -0.005622
1 22511U 92093GW  03287.68864840  .09113830  24819+0  37450-1 0  9996 | 2 22511 070.4857 013.9306 0021059 054.5407 306.1401 15.94764494558105 | 2003/10/14-16:31:39  256.1133   90.2955     6667.1077     6526.7051     6807.5103  68.412578  16.969181   0.007728   0.019590
1 22512U 93010A   25289.39650847  .00000032  00000-0  00000+0 0  9997 | 2 22512  64.7575  78.4377 0022668 212.1221 147.7407  2.13103538253937 | 2025/10/16-09:30:58   89.5997  675.7279    25507.9017    24929.6886    26086.1148  12.979561  63.443398   0.007961  -0.021224
1 22513U 93010B   25287.41275559  .00000038  00000-0  00000-0 0  9999 | 2 22513  64.7512  78.4080 0004858  77.1337 287.1826  2.13104393254146 | 2025/10/14-09:54:22   89.0696  675.7252    25507.8335    25383.9164    25631.7505  13.011180  63.430490  -0.004422   0.002011
1 22514U 93010C   25285.46765294  .00000033  00000-0  00000-0 0  9998 | 2 22514  64.7674  78.7975 0009210 208.7630 150.0695  2.13102554254001 | 2025/10/12-11:13:25  112.0097  675.7310    25507.9802    25273.0517    25742.9087  12.582826  63.533366   0.002779  -0.008781
1 22515U 93010  D 93049.25943404  .44554555 +34900-4 +87078-4 0  9995 | 2 22515 064.7425 123.8066 0034728 290.6253 069.1270 16.60969620000057 | 1993/02/18-06:13:35  118.0572   86.6963     6488.7451     6263.4040     6714.0863 -36.022166  53.795863   0.020200   0.028249
1 22516U 93010  E 93049.01731490  .00579832 +33000-4 +84104-5 0  9995 | 2 22516 064.8557 124.8237 0032039 316.7692 043.1262 16.45408966000019 | 1993/02/18-00:24:56   29.4955   87.5162     6529.5903     6320.3888     6738.7919 -37.036054  53.240892   0.004684   0.031695
1 22517U 93010F   25289.92890785  .00000024  00000-0  00000-0 0  9990 | 2 22517  64.7821  77.0371 0027126 225.4789 133.8655  2.13421199255327 | 2025/10/16-22:17:37  283.7072  674.7221    25482.5844    24791.3438    26173.8250  14.531926  63.131162   0.014581  -0.022874
1 22520U 92091  C 93054.42810344  .14211461 +31300-4 +78216-2 0  9996 | 2 22520 064.6205 076.2843 0098673 104.5899 258.3477 16.08550496010107 | 1993/02/23-10:16:28  228.2097   89.5216     6628.9596     5974.8603     7283.0590  15.321802  62.777794  -0.098662  -0.001505
1 22521U 93011A   01061.16224976  .42068032 -39796-5  50459-3 0  9992 | 2 22521 031.0744 056.7295 0006190 308.9580 051.0231 16.49606505443360 | 2001/03/02-03:53:38  161.7128   87.2935     6518.5090     6478.1594     6558.8585  17.047180  25.980993   0.006160   0.000613
1 22522U 93011B   03344.79572494 +.63726733 -40277-5 +10875-2 0  9994 | 2 22522 031.0529 117.2244 0000990 274.8953 085.2205 16.48243954595481 | 2003/12/10-19:05:50  248.2195   87.3657     6522.1009     6515.6440     6528.5578 -14.205977  27.612910   0.000838   0.000526
1 22523U 93011  C 94354.09617778  .01769950 +36351-1 +35982-2 0  9993 | 2 22523 031.0719 134.7224 0000010 359.3694 001.0734 16.13405019102233 | 1994/12/20-02:18:29  347.9015   89.2522     6615.6559     6615.5897     6615.7220 -21.864443  22.077344  -0.000007   0.000007
1 22524U 93010G   98248.57410382  .99999999  49434-5  90848-3 0  9992 | 2 22524 064.0573 333.2850 0184883 210.8050 148.5777 16.19692207 91466 | 1998/09/05-13:46:42  218.4757   88.9058     6598.5247     5378.5697     7818.4797  57.219422 -28.797143  -0.184412  -0.013186
1 22525U 92091  D 93056.12789099  .13790837 +29900-4 +64962-2 0  9996 | 2 22525 065.1822 070.0987 0098112 125.7338 239.8772 16.10412737000867 | 1993/02/25-03:04:09  125.3208   89.4181     6623.8483     5973.9693     7273.7273  22.188079  61.289545  -0.094390  -0.026768
