# SPACE DATA - CATALOG TLEs (nice format)
# Generated : 2026/03/21-13:43:36
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG      ARG_LAT     TANOM    PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------
1 00029U 60002B   26080.29012493  .00000532  00000-0  10054-3 0  9998 | 2 00029  48.3777  82.3366 0022789 250.9821 108.8623 14.78649326529129 | 2026/03/21-06:57:46   21.8524    0.0913  109.1092   97.3862     7011.7278     6995.7488     7027.7068   6.451318  47.945619   0.002036  -0.001023
1 00030U 60003  A 61228.60062239  .02125614 +00000-0 +00000-0 0  9990 | 2 00030 051.2500 356.4892 0000000 331.9473 028.0526 16.29358349075909 | 1961/08/16-14:24:53    4.5716  359.9999   28.0526   88.3783     6572.4017     6572.4017     6572.4017  51.153818  -3.138380   0.000000  -0.000000
1 00031U 60003  B 67275.67017494  .01669365 +00000-0 +00000-0 0  9994 | 2 00031 051.2007 317.7772 0014942 349.5805 010.4801 16.23394966418285 | 1967/10/02-16:05:03  114.2805    0.0918   10.5113   88.7030     6588.4873     6578.6428     6598.3318  37.916025 -34.407655   0.000907  -0.001188
1 00032U 60004  A 60115.70328308  .04582881 +00000-0 +00000-0 0  9995 | 2 00032 080.0999 205.8192 0176930 121.6216 239.2608 16.05408684001401 | 1960/04/24-16:52:43   79.3947  359.1595  237.5379   89.6968     6637.6055     6520.1663     6755.0446 -72.103757 -34.886132   0.014912  -0.009522
1 00033U 60003  C 60280.33271408  .00001932 +00000-0 +00000-0 0  9994 | 2 00033 051.2879 136.0668 0242757 196.7800 163.6100 15.38343354027003 | 1960/10/06-07:59:06  179.1223    1.1527  164.3727   93.6072     6829.1448     6663.3625     6994.9271 -36.934940  35.584532   0.021600  -0.011079
1 00034U 60005  A 62247.41570340  .02051518 +00000-0 +00000-0 0  9995 | 2 00034 064.9604 254.3998 0000000 066.3194 286.6963 16.39651632131532 | 1962/09/04-09:58:36   66.1841  353.0157  286.6963   87.8235     6544.8664     6544.8664     6544.8664 -17.469358 -62.567365   0.000000  -0.000000
1 00035U 60005  B 60198.16679572  .03271057 +00000-0 +00000-0 0  9991 | 2 00035 064.8899 044.6976 0000000 036.3819 323.6180 16.27523673009903 | 1960/07/16-04:00:11  130.0023  359.9999  323.6180   88.4780     6577.3401     6577.3401     6577.3401  46.125619  45.641280   0.000000   0.000000
1 00036U 60005  C 65282.77315291  .00738388 +17377-2 +00000-0 0  9992 | 2 00036 064.9598 314.3796 0027048 289.2310 070.4777 16.31478721308431 | 1965/10/09-18:33:20  162.6808    0.0012   70.7702   88.2635     6566.7059     6548.9443     6584.4675  45.433463 -46.428182  -0.001202  -0.002423
1 00037U 60005  D 61074.65882873  .00039007 +00000-0 +00000-0 0  9995 | 2 00037 064.8899 343.2411 0198403 333.4201 027.0840 15.49800338046906 | 1961/03/15-15:48:42  246.5947    1.5625   28.1424   92.9152     6795.4466     6660.6229     6930.2703  62.133804 -18.710679   0.014430  -0.013617
1 00038U 60005  E 60232.69066809  .00610805 +00000-0 +00000-0 0  9999 | 2 00038 064.8899 302.1218 0034213 049.4823 310.6691 15.88909013015003 | 1960/08/19-16:34:33   94.5773  359.8532  310.3709   90.6282     6683.4775     6660.6113     6706.3437  34.503313 -54.956533   0.003385  -0.000500
