# SPACE DATA - CATALOG TLEs (nice format)
# Generated : 2026/03/21-13:43:36
#
#                  LINE 1                                             |                 LINE 2                                                |      DERIVED PARAMETERS
# --------------------------------------------------------------------+-----------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------
# NORAD  COSPAR     TLE_EPOCH      MEANMOT1 MEANMOT2   BSTAR  #  REV  |   NORAD    INC     RAAN     ECC    ARGPER  MEANANOM   MEANMOT     REV |  CAL_DATE              LONG      ARG_LAT     TANOM    PERIOD        SMA         PERIGEE        APOGEE      INC_X      INC_Y      ECC_X      ECC_Y
# ------ ------   -------------- ----------  -------  ------- -- ----     -----  ------- -------- ------- -------- -------- -----------  ----   ------------------- ---------  --------- ---------  --------  ------------  ------------   ----------- ---------- ----------  ---------  ---------
1 12898U 81102  B 81284.34818687  .15332714 +57854-4 +13581-3 0  9998 | 2 12898 051.6184 273.2578 0005316 303.7831 056.8331 16.51385277000235 | 1981/10/11-08:21:23   52.1500    0.6672   56.8841   87.1995     6513.8272     6510.3645     6517.2900   2.933407 -51.534982  -0.000424  -0.000320
1 12899U 81102  C 81283.12802968  .60171281 +57644-4 +78803-3 0  9994 | 2 12899 051.6003 280.1274 0005206 093.6750 266.4794 16.49094336000040 | 1981/10/10-03:04:21  325.0642    0.0949  266.4199   87.3207     6519.8586     6516.4643     6523.2528   9.073269 -50.796326   0.000506   0.000124
1 12900U 81101  C 81286.51511744 -.60950665 +00000-0 -29112-1 0  9991 | 2 12900 082.3420 199.7032 0013826 200.7750 159.2923 16.21166104000655 | 1981/10/13-12:21:46  187.6640    0.1232  159.3482   88.8250     6594.5247     6585.4071     6603.6423 -77.521017 -27.761427   0.001052   0.000898
1 12901U 81102  D 82115.80247797  .00144913 -50069-4 +54273-3 0  9997 | 2 12901 046.7406 225.2088 7242450 054.7461 353.0268 02.39007838003145 | 1982/04/25-19:15:34   49.6849  359.6659  304.9198  602.4907    23629.8199     6516.0410    40743.5989 -32.929931 -33.170820   0.125202  -0.713341
1 12902U 81102  E 82100.26176240  .03126197 -32743-4 +14331-2 0  9992 | 2 12902 046.6867 225.5953 6615040 054.4683 352.2936 03.27323670004351 | 1982/04/10-06:16:56  200.7861    8.3502  313.8819  439.9315    19160.9439     6485.9029    31835.9850 -32.667709 -33.353692   0.115592  -0.651326
1 12903U 81103A   15243.25221526  .18772571 -97346-6  19782-3 0  9992 | 2 12903 081.0885 314.8004 0011558 263.3522 096.7389 16.50252196859203 | 2015/08/31-06:03:11  295.7507    0.2226   96.8704   87.2594     6516.8085     6509.2764     6524.3407  57.138133 -57.537628  -0.000909  -0.000714
1 12904U 81103B   26080.61039755  .00007170  00000-0  31687-3 0  9994 | 2 12904  81.1608 199.4484 0012436 243.3173 116.6786 15.21511763975042 | 2026/03/21-14:38:58   19.5348    0.1231  116.8058   94.6427     6879.4169     6870.8617     6887.9722 -76.529905 -27.023121   0.000157   0.001234
1 12905U 81104  A 81301.32549981  .00140874 +09160-6 +05080-4 0  9998 | 2 12905 070.3322 167.8940 0035200 059.8990 300.5570 16.08546257002074 | 1981/10/28-07:48:43  166.2186    0.1079  300.2089   89.5218     6628.9713     6605.6373     6652.3053 -68.768102  14.750136  -0.002365  -0.002607
1 12906U 77068F   23203.06130222  .83037085  30332-4  26650-2 0  9992 | 2 12906  62.0009  21.6373 1682709  59.7403  77.8456 12.62711052316228 | 2023/07/22-01:28:16  342.9492  156.9318   97.1915  114.0403     7789.9114     6479.0960     9100.7268  57.632108  22.861577   0.025227   0.166369
1 12907U 78083E   26079.00317801  .00028670 -35862-6  16549-2 0  9990 | 2 12907  62.1582  20.4589 7491640  58.5322 353.2973  2.05181844332743 | 2026/03/20-00:04:34  286.8937  358.8569  300.3247  701.8165    26160.2901     6561.9425    45758.6377  58.237457  21.726491   0.143061   0.735378
1 12908U 78016C   05339.15677552  .33598216 -11603-4  47156-3 0  9999 | 2 12908 026.1428 207.4485 0025975 255.7319 104.3845 16.46450248394893 | 2005/12/05-03:45:45  103.5688    0.4045  104.6726   87.4609     6526.8370     6509.8835     6543.7905 -23.199788 -12.050554  -0.000592   0.002529
1 12909U 79058F   15273.57913462  .61275067  16283-5  16498-1 0  9993 | 2 12909  62.9059 304.8168 3607981  24.5618  28.1428  8.45279748160785 | 2015/09/30-13:53:57   40.0407   83.0238   58.4620  170.3578    10179.6973     6506.8819    13852.5128  35.916395 -51.644601   0.310485  -0.183777
1 12910U 81099  D 81288.98267140  .00334632 +39538-5 +23284-3 0  9990 | 2 12910 070.3477 145.4130 0030641 038.2287 333.6381 16.15013881002356 | 1981/10/15-23:35:02   41.3644   11.7104  333.4817   89.1633     6611.2615     6591.0039     6631.5191 -57.914812  39.933362  -0.003058  -0.000195
1 12911U 81099  E 81289.47308920  .08968774 +14941-4 +19189-2 0  9994 | 2 12911 070.3627 143.9067 0019566 040.2799 320.3808 16.29883305002437 | 1981/10/16-11:21:14  231.5935    0.5175  320.2376   88.3499     6570.9904     6558.1336     6583.8472 -56.857197  41.450798  -0.001951  -0.000143
1 12912U 81099  F 81298.90964667  .11188812 +15967-4 +15367-3 0  9994 | 2 12912 070.3378 115.7851 0004777 309.2654 050.8577 16.49056196003964 | 1981/10/25-21:49:53   66.1610    0.1656   50.9002   87.3227     6519.9591     6516.8445     6523.0737 -30.596729  63.334401   0.000202   0.000433
1 12913U 81104  B 81296.02973178  .19927595 +15958-4 +22478-3 0  9998 | 2 12913 070.3413 183.3717 0032128 024.8413 335.5933 16.47134050001221 | 1981/10/23-00:42:48   38.7718    0.2819  335.4406   87.4246     6525.0305     6504.0669     6545.9941 -70.219539  -4.137005  -0.002831  -0.001519
1 12914U 81053 EA 81294.69356307  .01102521 +00000-0 +43901+0 0  9995 | 2 12914 083.0885 053.3187 0065046 166.6514 201.7784 14.27530661002521 | 1981/10/21-16:38:43   38.1605    8.1553  201.5039  100.8735     7178.1337     7131.4428     7224.8246  49.634032  66.634539  -0.004985  -0.004178
1 12915U 81105A   97008.62998873  .99999999  16906-4  12024-2 0  9998 | 2 12915 062.2786 045.6953 1358123 268.6411 076.4929 13.45625141 70987 | 1997/01/08-15:07:11  124.2991    0.6958   92.0547  107.0135     7466.5351     6452.4878     8480.5824  43.499982  44.568773   0.094915  -0.097140
1 12916U 81105  B 81308.22856137  .07138082 +08200-5 +05507-4 0  9993 | 2 12916 062.8409 357.0555 0081240 113.9181 247.0369 16.26663971002830 | 1981/11/04-05:29:07  308.3665    0.1012  246.1831   88.5247     6579.6573     6526.2042     6633.1105  62.757935  -3.228049  -0.002908   0.007586
1 12917U 81105  C 81310.56978062  .16586986 +09728-5 +08224-4 0  9991 | 2 12917 062.7972 347.6762 0035349 104.1766 256.2049 16.43803978003201 | 1981/11/06-13:40:29   82.8193  359.9885  255.8119   87.6017     6533.8399     6510.7434     6556.9364  61.350164 -13.403197  -0.000114   0.003533
1 12918U 81105  D 81294.96410053  .00462970 +53749-5 +15292-2 0  9990 | 2 12918 062.8003 048.5149 0294160 132.1913 230.4680 15.45977459000723 | 1981/10/21-23:08:18  146.6639    0.1198  227.9285   93.1450     6806.6445     6606.4203     7006.8688  41.600505  47.045464  -0.029414  -0.000363
1 12919U 78083F   26057.15871872  .00000580  00000-0  00000+0 0  9999 | 2 12919  66.2020 266.2941 6380036 344.0164   2.8492  2.00027955 66364 | 2026/02/26-03:48:33  140.6406    0.5775   16.5611  719.8994    26607.7435     9631.9073    43583.5796  -4.278971 -66.063569  -0.214958  -0.600701
1 12920U 81105E   97349.28885835 +.91063802 +82447-5 +11790-3 0  9998 | 2 12920 062.1590 031.7477 0282824 265.6782 091.1196 16.08561393115972 | 1997/12/15-06:55:57  340.1935    0.0341   94.3559   89.5210     6628.9297     6441.4477     6816.4118  52.858357  32.706809   0.013027  -0.025104
1 12921U 81101  D 81298.60116907  .10412655 -10602-4 +14034-3 0  9997 | 2 12921 082.3154 185.4176 0010099 307.4228 053.3315 16.48832889002613 | 1981/10/25-14:25:41  244.2392    0.8472   53.4244   87.3345     6520.5478     6513.9627     6527.1329 -81.947698  -7.771736  -0.000687   0.000741
1 12922U 81101  E 81296.02799507  .07018780 -10157-4 +66235-3 0  9997 | 2 12922 082.3429 188.6231 0009151 039.1372 346.2566 16.38584372002197 | 1981/10/23-00:40:18    7.9328   25.3689  346.2317   87.8807     6547.7080     6541.7162     6553.6998 -81.412097 -12.345998  -0.000615  -0.000677
1 12923U 81101  F 81296.16500161  .22537875 -10512-4 +11153-1 0  9999 | 2 12923 082.3467 188.3853 0062513 347.4004 012.5346 16.16051562002213 | 1981/10/23-03:57:36   83.2245    0.0917   12.6913   89.1061     6608.4311     6567.1198     6649.7424 -81.466396 -12.008554  -0.006234   0.000459
1 12924U 81104  C 81311.39987962  .03740456 +05833-5 +05171-4 0  9990 | 2 12924 070.3223 137.9656 0014591 320.3089 039.7064 16.38017654003709 | 1981/11/07-09:35:49  233.3658    0.1223   39.8134   87.9111     6549.2181     6539.6622     6558.7741 -52.231393  47.086171  -0.000210   0.001444
1 12925U 81104  D 81302.94002420  .07286523 +07006-6 +08650-3 0  9992 | 2 12925 070.3174 163.1410 0028016 063.9219 296.4845 16.18759537002334 | 1981/10/29-22:33:38   33.4618    0.1186  296.1967   88.9570     6601.0590     6582.5655     6619.5525 -67.295254  20.393272  -0.001908  -0.002051
1 12926U 81104  E 81303.86366733  .07950205 +05393-5 +06856-3 0  9992 | 2 12926 070.3192 160.3637 0011479 099.7042 260.5476 16.30407715002481 | 1981/10/30-20:43:40    9.7371    0.1221  260.4179   88.3215     6569.5813     6562.0401     6577.1226 -66.229768  23.630651  -0.000198  -0.001131
1 12928U 81106  B 81303.79592601  .12817577 +09448-5 +00664-4 0  9990 | 2 12928 051.5574 135.9485 0048585 349.0684 011.1194 16.37847519000097 | 1981/10/30-19:06:08    9.6995    0.2958   11.2274   87.9203     6549.6717     6517.8501     6581.4933 -37.055083  35.848101  -0.002788   0.003979
1 12929U 81106  C 81303.79595079  .09428654 +09310-5 +04333-4 0  9998 | 2 12929 051.5219 135.9118 0025710 339.7019 021.0949 16.37745476000097 | 1981/10/30-19:06:10    9.1355    0.9032   21.2013   87.9258     6549.9437     6533.1038     6566.7836 -37.006615  35.847129  -0.001111   0.002318
1 12930U 81107A   26079.89747537  .00000051  00000-0  00000-0 0  9992 | 2 12930   5.5917   0.9148 1040229  43.0981 148.2932  1.00382485  6982 | 2026/03/20-21:32:21  129.5991  197.0212  153.9231 1434.5132    42133.7273    37750.8548    46516.5998   5.590987   0.089275   0.074812   0.072277
1 12932U 81107C   26080.24554942 -.00000319  00000-0  00000-0 0  9999 | 2 12932   5.2413   5.8284 1005256 115.3583 255.3285  0.99593070 25342 | 2026/03/21-05:53:35   71.3845  359.9500  244.5917 1445.8837    42356.0801    38098.2098    46613.9505   5.214205   0.532251  -0.052055   0.085998
1 12933U 81108A   25310.49239420  .00000119  00000-0  00000-0 0  9991 | 2 12933  71.5073 119.7468 4749935 327.7124 272.1738  2.00242621321809 | 2025/11/06-11:49:02   44.5534  190.8855  223.1731  719.1276    26588.7239    13959.2529    39218.1949 -35.479635  62.084535   0.021057   0.474527
1 12934U 81108  B 81327.48238870  .17458881 +09577-5 +04928-4 0  9990 | 2 12934 062.8133 246.9172 0032327 117.8867 244.0658 16.45387650003568 | 1981/11/23-11:34:38  168.1142    1.6200  243.7333   87.5174     6529.6467     6508.5383     6550.7551 -24.626643 -57.784419   0.003221   0.000271
1 12935U 81108  C 81318.03312057  .14959332 +08129-5 +00951-4 0  9990 | 2 12935 062.8918 283.3197 0073674 117.3118 244.8002 16.32571030002075 | 1981/11/14-00:47:41  320.0582    1.3511  244.0393   88.2044     6563.7765     6515.4185     6612.1345  14.489285 -61.199993   0.005591   0.004798
1 12936U 81109  A 81337.57735323  .01751755 +04200-5 +00759-4 0  9994 | 2 12936 067.1270 122.3077 0096099 125.6724 235.3754 16.17926979004839 | 1981/12/03-13:51:23  336.8739    0.1478  234.4754   89.0028     6603.3233     6539.8661     6666.7806 -35.877095  56.735070  -0.003603  -0.008909
1 12937U 81109  B 81310.43679284  .30509171 +06038-5 +00720-4 0  9998 | 2 12937 067.1343 214.3969 0041173 071.5948 289.2032 16.44533920000465 | 1981/11/06-10:28:58  168.5264    0.3517  288.7569   87.5628     6531.9064     6505.0126     6558.8002 -55.395469 -37.925667   0.001134  -0.003958
1 12939U 81110  B 81309.01642753  .10714848 +06424-5 +01666-4 0  9991 | 2 12939 051.5361 131.1725 0018128 332.5357 027.4419 16.43315887000132 | 1981/11/05-00:23:39   99.4277    0.0735   27.5378   87.6277     6535.1336     6523.2867     6546.9805 -33.927671  38.792819  -0.000430   0.001761
1 12940U 81108D   26080.24289704  .00000100  00000-0  00000-0 0  9997 | 2 12940  65.6563 255.4696 6705191 346.9518   1.7619  1.99121680322795 | 2026/03/21-05:49:46  202.7570  358.9225   11.9707  723.1759    26688.4167     8793.3235    44583.5098 -16.472749 -63.556261  -0.310427  -0.594332
1 12941U 81110  C 81308.95559806  .06834183 +09847-5 +01666-4 0  9994 | 2 12941 051.5742 131.5088 0017164 291.4922 068.2565 16.41375160000126 | 1981/11/04-22:56:03   77.3004  359.9315   68.4393   87.7313     6540.2839     6529.0582     6551.5097 -34.180031  38.621543   0.000779   0.001529
1 12942U 77121AZ  26080.05067766  .00000148  00000-0  40426-3 0  9991 | 2 12942  65.8327   3.5690 0113946 248.7609 129.1142 13.37827379181846 | 2026/03/21-01:12:58  355.9173   18.8791  130.1182  107.6372     7495.5204     7410.1119     7580.9288  65.705021   4.098120  -0.003459  -0.010857
1 12943U 63038L   12178.79868814 +.00000017 +00000-0 +64883-5 0  9991 | 2 12943 090.1487 269.3955 0132200 027.1692 333.6312 13.79206742618348 | 2012/06/26-19:10:06  112.9305    0.1175  332.9483  104.4078     7344.8387     7247.7399     7441.9374  -0.951098 -90.143683   0.005912  -0.011824
1 12944U 81044  C 81341.57320784  .04191470 +04440-6 +03922-3 0  9993 | 2 12944 089.8770 022.7667 0046582 132.8129 224.1120 16.11720276008757 | 1981/12/07-13:45:25   82.9805  356.5549  223.7420   89.3455     6620.2653     6589.4268     6651.1038  82.874523  34.780578  -0.004241   0.001926
1 12945U 81070  G 82025.32112147  .07624041 -86913-5 +50169-3 0  9996 | 2 12945 089.9207 159.8319 0042115 262.5585 107.0626 16.35336839015072 | 1982/01/25-07:42:24  251.2504   10.0817  107.5232   88.0553     6556.3736     6528.7615     6583.9858 -84.407224  31.002466   0.001952   0.003732
1 12946U 81070  H 82046.28374647  .03090861 -87182-5 +22289-2 0  9993 | 2 12946 089.9088 159.7964 0061413 190.7451 169.2589 16.11518867018237 | 1982/02/15-06:48:35  268.0737    0.1342  169.3891   89.3567     6620.8169     6580.1565     6661.4773 -84.376831  31.050648   0.006058  -0.001009
1 12947U 81053EB  26079.52134330  .00000251  00000-0  35797-3 0  9997 | 2 12947  83.0965 178.7453 0194308  50.0478 327.5592 13.44979827169216 | 2026/03/20-12:30:44  349.4073   16.3877  326.3399  107.0648     7468.9232     7323.7961     7614.0504 -83.076576   1.819555  -0.012801  -0.014618
1 12948U 81053EC  01063.97995817  .05224321  00000-0  21568-1 0  9998 | 2 12948 082.8125 088.8306 0012076 223.3528 137.0072 15.81753089873685 | 2001/03/04-23:31:08  246.8566    0.4543  137.1015   91.0382     6703.6199     6695.5246     6711.7152   1.690076  82.795252   0.000811  -0.000895
1 12949U 81053ED  26080.21153101  .00000759  00000-0  53679-3 0  9996 | 2 12949  82.8416 237.9440 0030819 318.5576 220.8105 13.96438359248510 | 2026/03/21-05:04:36   18.2747  179.1380  220.5804  103.1195     7284.2917     7261.8422     7306.7411 -43.968004 -70.210721  -0.002955  -0.000875
1 12950U 81053EE  26080.62856843  .00000834  00000-0  40053-3 0  9992 | 2 12950  83.0119 148.3436 0051905 192.2817 320.5012 14.17126468288326 | 2026/03/21-15:05:08  284.4301  152.4027  320.1210  101.6141     7213.2243     7175.7840     7250.6645 -70.660620  43.566643   0.004897  -0.001722
1 12951U 81053 EF 92171.54488409  .19492165 -22000-5 +17628-1 0  9999 | 2 12951 083.0801 271.5028 0019177 297.9447 066.5465 16.12199961564419 | 1992/06/19-13:04:37    8.2077    4.6930   66.7483   89.3189     6618.9521     6606.2589     6631.6452   2.178842 -83.051524  -0.001670  -0.000943
1 12952U 81053EG  26080.30474560  .00000928  00000-0  63001-3 0  9993 | 2 12952  82.9610  40.8960 0011220  40.1715  90.6385 13.99107550250534 | 2026/03/21-07:18:50  297.6229  130.9386   90.7671  102.9228     7275.0242     7266.8616     7283.1868  62.710152  54.313575   0.000174   0.001108
1 12953U 81111  A 81318.73886216 -.00260226 +00000-0 +05357-4 0  9997 | 2 12953 038.0313 141.7164 0006890 273.9083 086.0340 16.05212975000345 | 1981/11/14-17:43:57  358.3034    0.0211   86.1128   89.7077     6638.1450     6633.5713     6642.7187 -29.852811  23.562458   0.000389   0.000569
1 12954U 81112  A 81331.14425362  .00004133 +00000-0 +04683-5 0  9994 | 2 12954 070.3645 200.4819 0048706 190.0055 170.0189 15.62302876002151 | 1981/11/27-03:27:43   98.0244    0.1206  170.1151   92.1716     6759.1438     6726.2227     6792.0649 -65.916252 -24.621345   0.004197   0.002471
1 12955U 81112  B 81325.58955736  .06857675 +05307-5 +06563-4 0  9990 | 2 12955 070.3537 214.0893 0030994 050.2230 310.1868 16.39903450001315 | 1981/11/21-14:08:57  238.3182    0.1378  309.9148   87.8100     6544.1964     6523.9133     6564.4794 -58.264473 -39.432147  -0.000307  -0.003084
1 12956U 81112  C 81317.82791209  .00010306 +00000-0 +09999-6 0  9996 | 2 12956 070.5626 237.0082 0091592 062.2046 298.8384 16.03152847000064 | 1981/11/13-19:52:11  293.1592    0.1185  297.9139   89.8230     6643.8307     6582.9785     6704.6828 -38.422676 -59.184275   0.004470  -0.007994
1 12957U 81112  D 81317.45354861 -.00000316 +00000-0 +00000-0 0  9994 | 2 12957 070.3399 237.9293 0125492 063.5733 298.0370 15.95252991000010 | 1981/11/13-10:53:06  157.1476    0.3317  296.7584   90.2678     6665.7465     6582.0968     6749.3963 -37.348047 -59.605578   0.006557  -0.010700
1 12958U 81093  K 81319.41793622  .09813364 +00875-5 +03432-3 0  9996 | 2 12958 059.7522 077.3707 0225156 215.6975 167.1077 15.87007999002752 | 1981/11/15-10:01:49  285.5915   23.3655  167.6680   90.7368     6688.8137     6538.2110     6839.4163  13.064357  58.306500   0.008822  -0.020715
1 12959U 81113  A 93305.93126995  .93684894 +32200-4 +90420-3 0  9994 | 2 12959 063.2999 267.2614 0367247 261.6459 095.2439 15.81416325006785 | 1993/11/01-22:21:01  292.7359    1.0593   99.4134   91.0576     6704.5715     6458.3482     6950.7949  -3.024431 -63.227606  -0.036039   0.007066
1 12960U 81113  B 81331.46846314  .69754422 +09972-5 +02226-4 0  9991 | 2 12960 062.7602 199.1745 0008419 216.2221 145.8764 16.52445984001573 | 1981/11/27-11:14:35  214.6135    2.1526  145.9305   87.1435     6511.0394     6505.5578     6516.5211 -59.278430 -20.613356   0.000478   0.000693
1 12961U 81113  C 81333.56473062  .17910384 +08736-5 +06448-4 0  9992 | 2 12961 062.8228 191.1143 0034538 117.9252 242.6339 16.42837906001904 | 1981/11/29-13:33:12  260.0427    0.2083  242.2831   87.6532     6536.4012     6513.8257     6558.9766 -61.644532 -12.110155   0.002175  -0.002683
1 12962U 81053EH  26079.42234254  .00001152  00000-0  73045-3 0  9998 | 2 12962  82.9585  80.5369 0028073  22.1497 338.0881 14.02936216248060 | 2026/03/20-10:08:10   70.1337    0.1174  337.9677  102.6419     7261.7823     7241.3963     7282.1683  13.639404  81.829575  -0.000617   0.002739
1 12963U 81053EJ  26080.50924310  .00000428  00000-0  37471-3 0  9997 | 2 12963  82.9429 238.4273 0024971 107.9920 323.9904 13.83262658233739 | 2026/03/21-12:13:18  231.9533   71.8137  323.8217  104.1017     7330.4743     7312.1693     7348.7792 -43.427245 -70.665402   0.002427  -0.000586
1 12964U 81053EK  26080.58404230  .00000054  00000-0  36652-4 0  9996 | 2 12964  82.9495 181.4561 0039233  23.8618  37.1085 13.80310535236739 | 2026/03/21-14:01:01  327.0133   61.2426   37.3808  104.3244     7340.9225     7312.1219     7369.7231 -82.922715  -2.107830  -0.003546  -0.001678
1 12965U 81053 EL 91032.62873044 -.01568604 +71659-3 +1246800 0  9991 | 2 12965 083.1360 356.2206 0008492 169.4949 190.6570 16.06884574489227 | 1991/02/01-15:05:22  181.4157    0.1339  190.6390   89.6144     6633.5405     6627.9073     6639.1737  82.955198  -5.479922  -0.000823   0.000210
1 12966U 81053EM  26080.63772934  .00002013  00000-0  10816-2 0  9992 | 2 12966  82.9427 326.2020 0030596 173.1499 215.0894 14.12260074252948 | 2026/03/21-15:18:19  234.4292   28.0384  214.8885  101.9642     7229.7851     7207.6648     7251.9053  68.925706 -46.138254  -0.002321   0.001993
1 12967U 81114A   26080.39457133 -.00000141  00000-0  00000-0 0  9998 | 2 12967  12.1914 332.5028 0005891 333.1765 280.0618  1.00094575127184 | 2026/03/21-09:28:10  276.0982  253.1718  279.9953 1438.6394    42214.4836    42189.6151    42239.3522  10.814179  -5.628834   0.000344  -0.000479
1 12968U 81115  A 91334.35849418  .15348355 +61280-4 +16777-3 0  9990 | 2 12968 050.6142 243.1525 0006533 228.7888 131.4960 16.50019330559201 | 1991/11/30-08:36:13  135.1818    0.3408  131.5520   87.2717     6517.4217     6513.1638     6521.6795 -22.858252 -45.158582  -0.000244   0.000606
1 12969U 81115  B 89281.36228833  .14838780 +57647-4 +22138-3 0  9997 | 2 12969 050.6257 003.3738 0006171 298.8442 061.2878 16.48292940441073 | 1989/10/08-08:41:41  324.7256    0.1940   61.3498   87.3631     6521.9717     6517.9470     6525.9964  50.537958   2.979317   0.000329  -0.000522
1 12970U 81112  E 81347.23931925  .32222018 +05291-5 +08927-3 0  9990 | 2 12970 070.3343 155.4199 0004358 232.2004 128.4533 16.36170197004694 | 1981/12/13-05:44:37  192.6399    0.6928  128.4924   88.0104     6554.1472     6551.2909     6557.0035 -63.960651  29.256605   0.000386   0.000202
1 12971U 81112  F 82105.63638583  .16621682 +15901-4 +21667-3 0  9998 | 2 12971 070.3266 168.8492 0013674 275.9365 084.1164 16.48510278024194 | 1982/04/15-15:16:23   83.7847    0.2088   84.2723   87.3516     6521.3984     6512.4811     6530.3158 -68.998945  13.600597   0.000124   0.001362
1 12972U 81112  G 82001.70744426  .04515466 +15101-4 +14173-2 0  9990 | 2 12972 070.3446 100.1699 0003551 052.5929 307.5871 16.26278146007785 | 1982/01/01-16:58:43   75.5530    0.1477  307.5548   88.5457     6580.6979     6578.3611     6583.0348 -12.420582  69.239381  -0.000316   0.000163
1 12973U 81112  H 81360.47020297  .10299612 +03252-6 +02216-2 0  9995 | 2 12973 070.3391 121.5369 0023518 260.0188 100.1397 16.07645607006704 | 1981/12/26-11:17:05  323.4033    0.4236  100.4048   89.5720     6631.4469     6615.8511     6647.0427 -36.790696  59.950260   0.002187   0.000864
1 12974U 81112  J 81342.20008740  .22608675 +03619-6 +07897-2 0  9999 | 2 12974 070.3280 171.3261 0050546 265.7132 093.9103 15.89782143003839 | 1981/12/08-04:48:07  158.6333    0.2011   94.4879   90.5784     6681.0302     6647.2602     6714.8001 -69.523637  10.606202   0.001134   0.004926
1 12975U 81116A   26080.60912363  .00000008  00000-0  19269-3 0  9995 | 2 12975  73.9836 172.1516 0096244  41.9507  23.7032 12.28044460986412 | 2026/03/21-14:37:08  340.7128   66.1022   24.1515  117.2596     7935.8317     7859.4541     8012.2093 -73.290584  10.102642  -0.007969  -0.005396
1 12976U 81116B   26080.61580518  .00000009  00000-0  20059-3 0  9990 | 2 12976  73.9827 158.0796 0093916  29.6862 122.2965 12.28397950986994 | 2026/03/21-14:46:45  270.8733  152.8867  123.2005  117.2259     7934.3092     7859.7933     8008.8250 -68.634002  27.619082  -0.009305  -0.001269
1 12977U 81116C   26080.58781463  .00000011  00000-0  22122-3 0  9995 | 2 12977  73.9817 145.2623 0092933  12.1425  57.1174 12.28728363987503 | 2026/03/21-14:06:27  356.2832   70.1599   58.0174  117.1943     7932.8867     7859.1640     8006.6094 -60.795889  42.156279  -0.008580   0.003571
1 12978U 81116D   26080.56494913 -.00000003  00000-0  10443-3 0  9990 | 2 12978  73.9803 127.0716 0089999 353.1961 158.7929 12.29206640988283 | 2026/03/21-13:33:31  283.4664  152.3582  159.1621  117.1487     7930.8288     7859.4522     8002.2055 -44.596255  59.027611  -0.004536   0.007773
1 12979U 81116E   26080.50242802 -.00000015  00000-0  60347-5 0  9996 | 2 12979  73.9787 106.1346 0087808 328.8030 183.4484 12.29739206989141 | 2026/03/21-12:03:29  281.5094  152.1915  183.3885  117.0980     7928.5389     7858.9200     7998.1578 -20.558296  71.064791   0.002282   0.008479
1 12980U 81116F   26080.49188108 -.00000021  00000-0 -43745-4 0  9994 | 2 12980  73.9788  91.0127 0085888 310.6660 204.5734 12.30135710989771 | 2026/03/21-11:48:18  290.8124  154.8341  204.1681  117.0603     7926.8351     7858.7531     7994.9171  -1.307503  73.967245   0.006415   0.005711
1 12981U 81116G   26080.37221715 -.00000031  00000-0 -12803-3 0  9995 | 2 12981  73.9808  62.8813 0083084 276.6593 195.8054 12.30855354971361 | 2026/03/21-08:55:59  318.4034  112.2080  195.5487  116.9918     7923.7451     7857.9114     7989.5787  33.723070  65.847653   0.007784  -0.002904
1 12982U 81116H   26080.63229679 -.00000024  00000-0 -67875-4 0  9994 | 2 12982  73.9847  31.6145 0077596 245.9578 288.5438 12.31646142992228 | 2026/03/21-15:10:30   20.7895  173.6560  287.6982  116.9167     7920.3531     7858.8943     7981.8118  63.004949  38.782886   0.001023  -0.007692
1 12983U 81116J   26080.59875604  .00000020  00000-0  30645-3 0  9993 | 2 12983  73.9836 300.0978 0114876 176.2149 197.2066 12.24801694715714 | 2026/03/21-14:22:12  261.2452   13.0374  196.8225  117.5701     7949.8327     7858.5082     8041.1572  37.101112 -64.008441  -0.005092   0.010297
1 12984U 81016F   26079.65825018 -.00000217  00000-0  00000-0 0  9990 | 2 12984  69.3539  12.4567 6142300 341.4222   3.5450  2.02659804328174 | 2026/03/20-15:47:52  237.8889  359.9703   18.5481  710.5504    26376.8803    10175.4091    42578.3515  67.721260  14.959757   0.610728  -0.065495
1 12985U 81016G   09188.31444788  .99999999  53271-5  38471-2 0  9996 | 2 12985 061.3519 221.9734 0303306 213.0101 147.4833 15.93068799113690 | 2009/07/07-07:32:48  356.9383    2.3035  149.2934   90.3916     6671.8379     6469.4771     6874.1988 -45.612401 -41.031263   0.007859   0.029295
1 12986U 81113D   97141.62810591  .74584389  78850-5  30000-3 0  9991 | 2 12986 062.3693 094.4005 0345998 267.7248 088.4243 15.87359872117286 | 1997/05/21-15:04:28  194.9870    0.1140   92.3892   90.7167     6687.8251     6456.4277     6919.2226  -4.785455  62.185440   0.034576   0.001283
1 12987U 81117A   26080.42042518  .00014533  00000-0  43741-3 0  9995 | 2 12987  82.4932 338.5846 0012100 130.1126 230.1179 15.34159842415850 | 2026/03/21-10:05:24  172.3835    0.1242  230.0116   93.8624     6841.5541     6833.2759     6849.8324  76.797681 -30.120496  -0.000388   0.001146
1 12988U 81117B   26080.58833918  .00000457  00000-0  47828-4 0  9996 | 2 12988  82.5229 309.2310 0018634  68.7289 291.5915 14.87278739373683 | 2026/03/21-14:07:12  261.4426    0.1217  291.3928   96.8211     6984.5794     6971.5644     6997.5945  52.191484 -63.922438   0.001773   0.000575
