NORAD_ID	bol	mission_start_date	stop_ops_date	demise_date
000047881	3/14/2021	3/14/2021	1/15/2025	1/15/2025
000047889	3/14/2021	3/14/2021	1/13/2025	1/13/2025
000047950	3/22/2021	3/22/2021	1/15/2025	1/15/2025
000048192	9/25/2019	9/25/2019	1/11/2025	1/11/2025
000048689	5/26/2021	5/26/2021	1/12/2025	1/12/2025
000052533	5/13/2022	5/13/2022	1/17/2025	1/17/2025
000053534	8/19/2022	8/19/2022	1/13/2025	1/13/2025
000053937	9/24/2022	9/24/2022	1/14/2025	1/14/2025
000056106	3/29/2023	3/29/2023	1/17/2025	1/17/2025
000057554	12/25/2013	12/25/2013		
000058964	2/15/2024	2/15/2024		
000061448	10/4/2024	10/4/2024		
000033691	5/10/1999	5/10/1999		
000037895	5/10/1999	5/10/1999		
000010395	11/6/1973	11/6/1973	1/22/2025	1/22/2025
000028601	5/14/1981	5/14/1981	12/23/2024	12/23/2024
000029200	9/9/1980	9/9/1980	9/21/2024	9/21/2024
000031267	5/10/1999	5/10/1999	11/12/2024	11/12/2024
000031337	5/10/1999	5/10/1999	9/14/2024	9/14/2024
000031380	5/10/1999	5/10/1999	8/10/2023	8/10/2023
000031632	5/10/1999	5/10/1999	3/26/2024	3/26/2024
000031682	5/10/1999	5/10/1999	4/7/2023	4/7/2023
000031809	5/10/1999	5/10/1999	5/7/2023	5/7/2023
000032142	5/10/1999	5/10/1999	9/25/2024	9/25/2024
000032228	5/10/1999	5/10/1999	10/17/2024	10/17/2024
000032467	10/14/1999	10/14/1999	7/1/2024	7/1/2024
000033680	5/10/1999	5/10/1999	4/22/2023	4/22/2023
000033692	5/10/1999	5/10/1999	11/18/2022	11/18/2022
000033727	5/10/1999	5/10/1999	4/21/2023	4/21/2023
000033843	6/16/1993	6/16/1993	1/22/2025	1/22/2025
000033959	9/14/1997	9/14/1997	1/22/2025	1/22/2025
000035763	6/16/1993	6/16/1993	10/27/2024	10/27/2024
000036059	6/16/1993	6/16/1993	12/7/2024	12/7/2024
000036067	6/16/1993	6/16/1993	2/25/2024	2/25/2024
000036140	5/10/1999	5/10/1999	9/18/2024	9/18/2024
000036237	5/10/1999	5/10/1999	8/12/2023	8/12/2023
000036372	6/16/1993	6/16/1993	11/24/2024	11/24/2024
000036375	6/16/1993	6/16/1993	5/29/2024	5/29/2024
000036381	6/16/1993	6/16/1993	12/26/2024	12/26/2024
000036712	5/10/1999	5/10/1999	3/16/2024	3/16/2024
000037127	6/16/1993	6/16/1993	10/22/2024	10/22/2024
000037335	6/16/1993	6/16/1993	8/27/2024	8/27/2024
000037510	6/16/1993	6/16/1993	9/26/2024	9/26/2024
000037547	6/16/1993	6/16/1993	1/22/2025	1/22/2025
000037901	5/10/1999	5/10/1999	4/25/2023	4/25/2023
000038814	5/10/1999	5/10/1999	7/23/2024	7/23/2024
000039596	10/14/1999	10/14/1999	10/2/2023	10/2/2023
000039882	3/26/1993	3/26/1993	12/7/2024	12/7/2024
000041396	9/21/2000	9/21/2000	5/21/2024	5/21/2024
000041842	11/9/2016	11/9/2016	8/29/2024	8/29/2024
000042253	3/26/1993	3/26/1993	12/5/2024	12/5/2024
000042493	4/8/1970	4/8/1970	9/25/2024	9/25/2024
000042830	7/14/2017	7/14/2017	1/22/2025	1/22/2025
000043846	12/7/2018	12/7/2018		
000044711	7/10/2019	7/10/2019	9/14/2024	9/14/2024
000045740	6/13/2020	6/13/2020	1/22/2025	1/22/2025
000046973	9/14/1997	9/14/1997	8/25/2024	8/25/2024
000047056	6/16/1993	6/16/1993	4/6/2023	4/6/2023
000047065	6/16/1993	6/16/1993	11/6/2024	11/6/2024
000047943	3/22/2021	3/22/2021	12/6/2024	12/6/2024
000048163	6/24/2002	6/24/2002	6/12/2024	6/12/2024
000049230	11/4/1994	11/4/1994	7/4/2023	7/4/2023
000051083	1/13/2022	1/13/2022	11/22/2024	11/22/2024
000052034	7/15/2020	7/15/2020	10/7/2024	10/7/2024
000052980	7/15/2020	7/15/2020	9/5/2023	9/5/2023
000054368	11/26/2022	11/26/2022	12/3/2024	12/3/2024
000055136	1/9/2023	1/9/2023	11/30/2024	11/30/2024
000056981	6/12/2023	6/12/2023	12/15/2024	12/15/2024
000058572	11/11/2023	11/11/2023	12/3/2024	12/3/2024
000058813	1/17/2024	1/17/2024	1/19/2024	1/19/2024
000058814	1/17/2024	1/17/2024	1/20/2024	1/20/2024
000061116	8/6/2024	8/6/2024	1/22/2025	1/22/2025
000061342	8/6/2024	8/6/2024	1/22/2025	1/22/2025
000029182	1/11/1968	1/11/1968		
000013271	6/10/1982	6/10/1982	1/23/2025	1/23/2025
000021935	12/29/1983	12/29/1983	6/6/2024	6/6/2024
000025832	10/26/1978	10/26/1978		
000034458	6/16/1993	6/16/1993	1/25/2025	1/25/2025
000038058	6/16/1993	6/16/1993		
000041515	9/21/2000	9/21/2000	1/25/2025	1/25/2025
000043836	12/7/2018	12/7/2018	1/25/2025	1/25/2025
